	Akkermansia_muciniphila	Alistipes_onderdonkii	Alistipes_putredinis	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Barnesiella_intestinihominis	Dialister_invisus	Escherichia_coli	Eubacterium_rectale	Eubacterium_siraeum	Faecalibacterium_prausnitzii	Parabacteroides_distasonis	Parabacteroides_merdae	Prevotella_copri	Roseburia_intestinalis	Ruminococcus_torques	Subdoligranulum_unclassified
MSM9VZHJ	0	0	941	0	0	1902	0	0	0	0	1775	0	1	0	192	0	679	0	4270	0	0	0	0	16	89
MSM9VZHL	0	0	522	0	0	1077	0	0	0	0	617	8	0	0	842	0	561	0	5619	0	0	0	3	158	313
MSM9VZHN	0	0	935	0	0	2372	0	2	1	0	877	5	0	0	143	4	1051	0	4109	0	0	0	3	34	58
MSM9VZHP	0	0	626	0	0	843	0	0	0	0	529	0	0	0	425	0	1476	0	5805	0	0	0	4	9	119
MSM9VZHR	0	0	590	0	0	1096	0	0	0	0	565	0	1	0	174	23	3375	0	3835	0	0	0	1	34	69
MSM9VZHT	0	0	591	0	0	982	0	0	0	0	741	0	3	0	986	0	1259	0	4680	0	0	0	2	22	93
MSM9VZHX	0	0	1214	0	1122	3	648	0	0	0	1531	362	3794	0	445	19	0	0	292	85	0	0	0	19	291
MSM9VZHZ	0	0	919	0	3030	1	693	0	0	0	330	199	1519	0	1997	45	0	0	29	104	0	0	0	417	663
MSM9VZI2	0	0	1265	0	3595	2	281	0	0	0	702	295	2388	0	594	20	0	0	424	98	0	0	0	19	146
MSM9VZI6	0	17	200	16	68	260	5	63	0	6	682	138	3719	31	0	0	31	183	3133	110	24	0	102	189	749
MSM9VZJZ	0	186	475	0	0	325	1	520	554	2	0	1147	0	119	0	0	519	8	665	441	211	0	0	53	730
MSM9VZKC	0	0	1226	1053	335	1	0	0	134	0	48	538	817	189	0	9	1190	0	2792	0	562	0	24	258	488
MSM9VZKE	0	0	1185	478	602	1	0	0	466	0	185	757	2073	94	0	0	434	0	1402	1	945	0	650	66	322
MSM9VZKI	100	0	1044	269	691	1	1	0	231	0	291	994	1956	211	0	0	792	0	1668	1	707	0	49	71	330
MSM9VZL5	0	143	462	171	0	271	0	0	276	1331	119	1987	415	137	40	0	831	0	1524	0	553	0	1491	27	50
MSM9VZL7	0	75	364	54	683	590	0	400	0	139	0	832	169	221	0	0	111	2395	2425	0	110	0	681	22	138
MSM9VZL9	0	30	377	34	230	637	0	348	0	260	0	820	207	238	0	3	372	582	3377	0	108	0	933	42	58
MSM9VZLB	0	33	405	142	501	386	1	483	0	359	0	845	241	271	0	1	722	744	3082	0	177	0	508	32	113
MSM9VZLD	0	128	410	33	575	732	0	466	0	140	0	1079	170	263	0	0	285	1278	1830	0	108	0	1667	34	209
MSM9VZLF	0	51	342	42	286	289	0	439	0	86	0	1117	73	208	0	0	2056	598	2929	0	175	0	673	42	125
MSM9VZLH	0	118	328	12	620	594	0	345	0	96	2	1280	177	200	0	1	490	1049	2343	0	186	0	1079	46	372
MSM9VZLJ	75	34	567	264	0	0	0	817	8	80	37	86	546	440	0	0	756	0	3152	94	180	260	23	574	1435
MSM9VZMA	0	0	564	0	2071	2	973	0	0	0	884	212	2226	0	1003	21	0	0	1781	64	0	0	3	17	129
MSM9VZMA_TR	0	0	789	0	2263	1	901	0	0	0	1120	295	2080	0	677	29	0	0	1517	105	0	0	0	11	133
MSM9VZMC	0	0	892	0	1106	2	625	0	0	0	1605	233	3093	0	434	3	0	0	1713	66	0	0	0	20	65
MSM9VZME	0	0	940	0	2615	2	290	0	0	0	1594	382	2067	0	730	1	0	0	718	92	0	0	0	65	367
MSM9VZMI	0	0	875	0	2721	2	1726	0	0	0	882	127	2981	0	204	136	0	0	67	49	0	0	0	0	30
MSM9VZMM	0	132	384	82	1114	578	0	951	0	1167	0	2434	710	367	0	1	14	113	891	0	76	0	92	17	70
MSM9VZMO	0	529	1137	60	999	922	0	868	0	210	0	1266	253	883	0	4	171	494	979	0	98	0	106	16	188
MSM9VZMS	0	315	1089	69	802	944	0	1041	0	306	1	1204	282	573	0	0	274	672	1029	0	194	0	222	11	105
MSM9VZMU	0	257	959	54	1108	716	0	722	0	420	0	1383	262	683	0	1	193	617	1242	0	188	0	224	10	119
