	Akkermansia_muciniphila	Alistipes_onderdonkii	Alistipes_putredinis	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Barnesiella_intestinihominis	Dialister_invisus	Escherichia_coli	Eubacterium_rectale	Eubacterium_siraeum	Faecalibacterium_prausnitzii	Parabacteroides_distasonis	Parabacteroides_merdae	Prevotella_copri	Roseburia_intestinalis	Ruminococcus_torques	Subdoligranulum_unclassified
CSM7KOSH	220	0	3444	0	0	0	3626	0	688	0	0	1	1	0	89	0	53	0	1471	0	0	0	100	9	99
CSM7KOU9	0	620	773	0	519	16	3	1092	464	534	22	4069	177	0	0	0	227	0	768	31	53	0	9	59	106
CSM7KOUB	0	892	1033	0	579	2	525	1413	191	594	35	3385	300	0	0	37	6	126	164	37	116	0	21	91	122
CSM7KOUL	0	0	0	332	2	150	0	0	84	2	429	1532	535	0	4	0	110	2	656	243	4	0	122	33	39
CSM7KOUN	0	0	0	502	0	166	0	0	22	3	820	1230	379	0	0	7	32	1	1155	503	0	0	38	19	53
CSM9X1XU	0	0	0	714	0	1	0	0	1809	1626	395	4	1285	0	0	0	28	0	725	1278	530	0	0	18	81
CSM9X1Y3	0	121	0	379	0	0	0	0	749	2050	96	0	919	0	0	11	546	0	1473	1102	491	0	0	108	97
CSM9X1Y5	17	0	3263	0	0	0	3154	0	153	0	0	0	0	0	151	0	856	0	801	0	0	0	879	60	168
CSM9X1ZO	1206	636	947	0	895	0	0	1605	750	107	25	2242	455	0	0	1	60	133	251	15	438	0	27	15	72
CSM9X1ZQ	170	621	637	0	661	0	0	1781	475	73	34	3828	516	0	0	2	51	104	247	29	510	0	14	19	35
CSM9X1ZY	158	287	767	0	999	1	0	1529	773	339	40	3163	609	0	0	0	134	0	337	31	261	0	84	8	40
CSM9X211	0	0	0	1087	0	60	0	0	75	1	226	1337	483	0	0	0	476	0	1369	265	0	0	0	64	79
CSM9X213	4	10	20	803	0	245	1	0	137	74	513	806	612	10	0	0	340	30	1045	175	5	0	124	18	57
CSM9X215	0	0	0	567	0	35	0	0	97	1	512	931	574	0	0	0	59	0	516	114	0	0	211	18	29
CSM9X219	0	0	0	507	0	84	0	0	33	0	537	1758	1009	0	0	3	283	0	1880	165	0	0	289	16	45
CSM9X21J	0	73	0	187	0	1	2	0	1475	2064	183	0	931	0	0	4	416	0	1295	614	910	0	0	56	46
CSM9X21L	1	70	1	141	0	0	12	0	916	2219	68	4	792	0	0	8	413	0	3381	720	306	0	1	39	61
CSM9X21N	0	109	0	400	0	0	13	0	1882	2695	268	0	850	0	0	9	325	0	713	561	637	0	0	25	98
CSM9X22G	980	1037	1567	5	339	2	92	933	466	243	22	2255	448	0	0	40	39	157	230	44	585	0	35	56	129
CSM9X22I	1124	607	746	0	353	1	0	695	742	182	12	3393	190	0	0	0	50	698	545	15	366	0	4	45	104
CSM9X22K	277	638	1366	0	309	0	4	675	611	502	7	2795	437	0	0	0	345	103	291	22	1358	0	116	60	48
CSM9X22S	0	0	0	801	0	40	0	0	210	0	513	1212	930	0	0	0	239	0	1688	223	0	0	1	23	51
CSM9X22U	0	0	0	603	0	258	0	0	21	0	264	848	688	0	0	0	169	0	2232	99	0	0	4	31	49
CSM9X23H	0	0	0	223	0	64	0	0	415	1	396	766	289	0	0	0	16	0	416	125	0	0	29	10	27
CSM9X23N	0	1	0	736	0	53	8	2	230	4	907	2318	678	0	0	2	76	0	961	300	0	0	0	4	25
ESM5ME9U	0	0	2726	193	0	141	0	255	497	0	151	1012	835	0	117	0	1231	2	897	0	1063	0	50	79	82
ESM5MEBS	2	0	1898	457	0	275	0	125	560	0	952	2031	889	0	514	0	281	0	710	0	403	1	51	24	46
ESM5MEBU	0	0	1785	115	0	188	0	302	618	0	553	1627	1089	0	162	0	526	0	728	0	530	0	1230	11	37
ESM5MEC3	0	0	3251	134	0	233	0	451	529	0	632	121	513	0	393	0	373	6	1062	0	1292	0	344	28	100
ESM5MEC5	0	0	1429	103	0	221	0	498	806	0	762	2411	1065	0	146	0	254	4	329	0	622	0	946	35	20
ESM5MEC9	0	5	0	0	0	97	0	0	1882	4334	0	727	603	0	0	2	264	0	1569	0	474	0	0	10	29
ESM5MEDU	0	0	1242	257	0	188	0	879	719	0	959	1291	1220	0	351	0	415	5	816	0	661	0	122	29	46
ESM718SY	0	0	2718	137	0	373	0	533	783	1	558	525	945	0	238	0	552	12	713	0	1015	0	216	36	46
HSM5MD3Y	0	0	0	1269	0	364	953	0	440	567	0	1696	4	0	0	192	621	0	2033	237	1490	0	0	50	59
HSM5MD41	0	0	0	1302	0	130	1968	0	1272	1971	0	2115	0	0	8	111	118	7	324	309	306	0	0	27	15
HSM5MD43	0	0	0	652	0	131	684	0	2407	1660	0	1598	0	0	29	45	168	8	2201	58	52	0	0	118	172
HSM67VGY	0	0	0	668	0	332	227	0	1115	178	0	3213	0	0	2	2	284	7	2891	394	534	0	0	47	38
HSM67VH1	0	0	0	612	0	145	2	0	255	551	0	1063	0	0	0	0	372	0	3891	86	419	0	2467	37	21
HSM6XRR5	15	9	61	0	0	0	3	1014	290	1835	36	964	338	12	0	174	1231	441	2310	0	74	13	0	125	267
HSM6XRR7	0	18	112	0	0	2	0	185	114	3827	239	523	422	49	0	169	1019	75	2056	1	49	0	0	24	168
HSM6XRR9	0	0	0	0	0	0	0	0	0	4678	0	0	3198	0	0	0	0	0	0	0	0	0	0	0	2124
HSM6XRRB	0	0	0	0	0	9839	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	23	15
HSM6XRRD	0	1	143	0	0	0	0	755	170	4243	0	634	343	12	0	1	926	54	971	1	146	627	0	11	59
HSM6XRTM	0	0	0	1654	0	545	325	0	807	435	0	1614	0	0	104	2	1495	42	1902	315	569	0	0	65	26
HSM6XRTO	0	0	1	2183	0	493	581	0	2757	286	0	1582	8	0	103	21	271	16	1094	124	378	0	0	58	21
HSM6XRTQ	0	0	0	243	0	1783	5	0	261	463	0	609	2	0	61	66	251	0	6094	35	2	0	0	10	53
HSM6XRTS	0	0	0	1645	0	204	224	0	1283	204	0	3280	2	0	0	6	476	36	1399	421	506	0	0	68	36
HSM6XRUX	0	3	245	1	0	27	1	952	913	2605	10	805	581	73	0	72	603	500	749	1	892	4	1	11	282
HSM6XRUZ	0	0	153	0	0	0	0	498	388	2649	2	737	659	11	0	44	1682	34	1955	0	123	87	0	44	169
HSM6XRV2	0	7	170	1	0	1	0	1489	406	1649	27	432	456	62	0	55	2627	138	1053	2	166	80	0	78	126
HSM6XRV4	0	7	122	0	0	0	0	1058	269	1915	5	1064	234	23	0	0	1197	175	3001	0	171	77	0	11	120
HSM6XRV6	3	9	326	0	0	0	0	1291	265	1819	32	420	403	31	0	1	1678	142	2348	1	397	124	0	24	182
HSM6XRV8	0	14	106	0	0	0	0	457	173	584	6	65	213	7	0	126	2223	55	2700	1	165	165	0	38	386
HSM7CZ1V	0	85	3	0	0	0	437	2	725	1712	484	1528	3815	0	0	0	0	0	495	13	0	0	49	25	31
HSM7CZ1Z	1	1228	2	6	0	1	450	52	919	1251	267	1345	1960	7	0	0	2	0	555	15	2	716	0	112	82
HSM7CZ22	0	516	0	0	0	0	465	0	1544	968	228	1704	2219	0	0	10	0	0	1329	257	0	0	214	61	36
HSM7J4GP	0	776	0	0	0	1	286	0	632	935	527	1311	2750	0	0	0	0	0	1418	22	0	0	21	20	63
HSM7J4GR	0	356	0	0	0	23	459	0	288	695	271	2439	3458	2	0	16	0	0	857	25	18	0	40	25	23
HSM7J4HM	0	0	322	47	0	0	0	0	624	0	0	0	4	0	5	5	5622	0	1802	681	508	1	0	161	2
HSM7J4HO	0	0	546	210	0	0	0	0	520	3	0	0	7	0	11	5	3280	0	3470	898	765	0	0	155	7
HSM7J4HQ	0	65	490	28	0	0	24	0	562	133	20	49	1516	0	61	78	1251	0	3904	717	645	3	0	67	3
HSM7J4HS	0	0	432	5	0	0	0	132	5	530	0	0	119	0	0	0	5217	0	2790	285	64	0	0	161	0
HSM7J4HU	0	0	1541	361	0	0	0	674	19	2983	0	65	825	0	77	773	1096	0	557	749	209	0	0	16	10
HSM7J4JZ	0	0	129	44	2	0	0	419	24	1017	0	400	424	0	0	0	4234	0	2249	118	2	0	5	282	5
HSM7J4K2	0	30	780	215	73	0	0	350	247	2993	0	1684	383	0	1	0	697	0	1239	91	58	0	33	32	4
HSM7J4K4	0	0	0	21	0	3	23	145	15	1537	0	327	1074	0	0	104	2669	0	2227	0	3	0	901	108	800
HSM7J4K6	0	2	307	186	8	0	0	292	196	3705	0	1295	302	0	37	285	739	0	900	44	46	0	30	99	1080
HSM7J4K8	0	0	301	112	9	0	2	172	83	1195	1	521	102	0	41	0	3084	0	1483	1	69	37	248	224	1711
HSM7J4KA	0	0	0	0	0	0	0	28	130	1909	0	62	1450	0	0	0	0	0	3067	0	0	0	0	2234	1119
HSM7J4M4	0	15	78	0	0	0	0	39	51	91	4	237	950	38	0	121	1266	32	4881	0	8	2	0	58	428
HSM7J4M6	0	1	301	0	0	0	0	591	60	1264	0	878	973	33	0	47	632	6	3617	0	9	25	0	44	272
HSM7J4M8	0	3	231	0	0	3	0	493	320	1323	4	821	512	124	0	3	1298	18	2927	0	107	6	1	24	214
HSM7J4MA	0	5	331	0	0	2	0	445	145	1426	1	860	386	61	0	5	1301	106	3126	1	25	25	0	41	273
HSM7J4MC	7	32	402	0	0	34	11	572	502	2753	22	573	450	227	0	31	902	15	1902	0	90	2	0	27	357
HSM7J4ME	0	1	271	0	0	0	0	114	61	920	1	374	389	63	0	21	1864	3	4100	0	45	8	0	18	468
HSM7J4NC	0	460	0	0	0	0	528	0	540	1165	914	1257	1723	0	0	1	0	0	1562	26	0	0	142	40	48
HSM7J4NE	0	873	0	0	0	0	505	0	829	1943	334	639	3015	0	0	1	0	0	1045	9	0	0	10	80	31
HSM7J4NM	0	171	0	0	0	0	502	0	284	834	270	997	2295	0	0	2	0	0	2963	17	0	0	253	72	48
HSM7J4NO	0	0	0	0	0	0	7	0	21	0	1	129	335	246	149	8	19	0	533	36	538	7826	0	0	46
HSM7J4NS	0	0	0	2	10	0	22	0	56	0	4	194	269	326	1420	21	303	13	2492	54	779	2716	6	56	302
HSM7J4NU	0	0	0	9	47	0	798	0	203	0	29	517	469	1140	158	30	343	245	2204	85	860	2047	2	73	465
HSM7J4PC	0	4	111	0	0	0	0	585	280	910	32	302	324	15	0	44	1855	128	3760	0	336	12	0	81	366
HSM7J4PE	0	8	189	0	0	1	0	478	287	2029	65	443	538	16	0	62	1421	106	3447	0	102	109	0	34	162
HSM7J4PG	0	3	732	927	0	18	30	443	667	228	11	1174	2062	17	5	9	596	8	1825	128	535	6	0	43	197
HSM7J4PI	0	3	126	0	0	0	0	439	139	360	25	420	489	20	0	56	1232	32	5400	0	85	5	0	29	417
HSM7J4PK	0	0	0	0	0	0	0	0	0	1044	0	465	2718	0	0	0	975	0	3691	0	0	0	0	0	205
HSM7J4PM	0	26	297	2	0	1	0	676	151	551	28	379	496	49	0	69	1508	24	4503	0	54	7	0	52	412
HSMA33IA	0	4	842	0	0	63	0	759	1107	4921	203	888	41	0	19	0	195	0	390	90	387	0	0	10	15
HSMA33IC	0	1	311	0	0	18	0	675	541	3850	127	506	47	0	92	1	1303	0	1169	162	438	0	190	232	48
HSMA33IO	1278	0	0	0	0	0	0	0	0	0	0	2598	5538	0	0	0	0	0	0	0	0	0	586	0	0
HSMA33IS	0	1	495	268	12	0	0	332	367	546	0	224	249	0	81	29	1430	0	3472	9	623	1460	0	0	298
HSMA33LB	0	0	0	0	0	0	0	447	144	847	83	281	990	0	3	35	3940	0	2836	13	0	0	0	167	142
HSMA33LH	0	20	123	0	0	5	0	622	475	2476	202	371	254	0	321	21	0	0	4354	19	127	0	0	0	80
HSMA33LH_TR	0	32	150	0	0	1	0	476	315	1790	315	320	157	0	458	10	0	0	5294	9	90	0	0	39	101
HSMA33LJ	0	15	600	0	0	3	0	1303	356	1364	200	341	147	0	237	8	0	0	4346	60	223	0	0	180	68
HSMA33LX	0	0	0	0	9	0	162	0	172	0	23	333	275	884	456	11	472	6	2742	76	1185	2442	51	41	321
HSMA33LZ	0	0	0	0	45	0	6	0	322	0	21	178	475	876	20	44	0	0	595	132	2354	4792	33	34	30
HSMA33M2	0	0	0	5	77	1	152	0	279	2	47	314	339	1137	2	11	119	24	1778	98	1920	2796	10	162	366
HSMA33M8	0	0	0	0	1	0	24	0	182	0	51	37	511	644	181	13	74	0	189	24	617	7112	67	29	27
HSMA33MA	0	20	468	140	57	23	0	313	111	1446	0	182	160	0	16	280	2055	16	1891	1	84	0	0	102	1881
HSMA33MC	0	110	1572	452	33	2	0	1525	261	1809	0	550	180	0	0	207	49	0	840	0	478	0	0	148	964
