	Akkermansia_muciniphila	Alistipes_onderdonkii	Alistipes_putredinis	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Dialister_invisus	Escherichia_coli	Eubacterium_eligens	Eubacterium_rectale	Eubacterium_siraeum	Faecalibacterium_prausnitzii	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Prevotella_copri	Roseburia_intestinalis	Roseburia_inulinivorans	Ruminococcus_torques	Subdoligranulum_unclassified
HSMA33P6	0	21	667	0	0	68	0	0	0	939	850	1574	282	1272	65	0	17	255	0	2	1836	0	1177	31	211	349	182	0	0	23	76	104
HSMA33RD	0	10	184	45	2	3	0	19	0	71	26	54	0	10	73	0	0	0	0	9	1677	6	1559	10	9	77	0	5862	1	29	26	237
HSMA33RF	0	4	187	126	0	101	0	16	0	428	116	418	0	55	484	0	0	0	0	90	2387	2	919	15	3	87	0	4270	0	177	24	91
HSMA33RR	0	0	0	0	0	0	0	0	0	1044	103	716	96	65	149	0	220	71	0	0	0	0	6824	0	79	21	153	0	0	0	31	428
HSMA33RT	0	26	0	9	0	84	0	0	0	764	1609	2596	472	1800	110	0	8	0	73	0	0	0	1055	0	1	818	318	0	143	16	72	24
HSMA33RX	0	33	0	409	0	328	0	0	0	200	1128	2350	139	3340	392	0	14	0	18	0	0	0	942	0	0	349	245	0	0	4	87	22
HSMA33RX_TR	0	48	0	334	0	0	0	0	0	200	855	2396	140	4090	353	0	17	0	1	0	0	0	928	0	0	335	247	0	0	3	32	21
MSM6J2HD	0	0	0	0	0	0	0	0	1725	0	0	1	0	4988	2596	0	0	103	9	0	0	0	460	0	0	0	1	1	51	15	40	9
MSM6J2HF	0	0	16	4	127	3	0	0	1035	0	1	0	4	2902	4121	1	0	237	68	0	0	0	600	0	0	0	13	1	755	9	85	17
MSM6J2HH	0	0	0	0	0	7	0	0	576	0	0	4	0	2157	3796	0	0	208	6	0	0	0	2229	0	0	0	0	0	702	0	303	12
MSM6J2HJ	0	0	0	0	0	0	0	0	2573	0	1	0	0	2617	1863	0	0	541	104	0	0	0	928	0	5	0	0	0	1216	44	101	8
MSM6J2HL	0	0	0	0	0	0	0	0	1122	0	0	0	0	2990	4271	0	0	240	71	0	0	0	297	3	0	0	0	0	960	2	39	5
MSM6J2OH	0	0	0	0	0	0	0	0	986	0	0	0	0	3156	2845	0	0	163	207	0	0	0	776	16	0	0	0	0	1710	0	123	19
MSM6J2OJ	0	69	287	110	1524	29	0	0	608	0	35	0	114	711	4244	39	0	321	230	0	0	7	918	4	11	25	105	0	279	223	71	34
MSM6J2OL	0	0	0	0	0	0	0	0	348	0	0	0	0	1893	6692	0	0	31	65	0	0	0	357	0	0	0	1	0	386	162	63	0
MSM6J2ON	0	0	0	0	0	0	0	0	1025	0	0	0	0	2962	4264	0	0	233	62	0	1	0	392	0	0	0	2	0	1040	3	10	6
MSM6J2OP	0	0	0	0	0	0	0	0	281	0	0	0	0	2437	5935	0	0	54	3	0	0	0	1076	0	0	0	0	0	183	13	11	7
MSM79H7C	0	135	865	703	251	91	0	873	3	1530	191	0	0	593	2643	0	0	0	0	68	167	0	1385	27	17	29	4	0	204	178	42	2
MSM79H7E	0	87	510	734	85	192	0	842	4	1206	237	0	2	442	2499	0	0	0	0	182	345	1	2258	2	23	70	0	0	161	91	20	7
MSM79H7G	0	236	952	415	195	184	0	1056	0	1335	655	0	0	661	3120	0	0	0	0	117	65	0	751	25	25	62	0	0	0	128	9	8
MSM79H7M	0	62	451	659	275	21	0	990	20	1115	703	0	0	676	2582	0	0	0	83	1	625	0	1051	33	266	40	297	0	0	0	48	2
MSM79HAJ	552	381	5	281	0	188	1135	0	0	157	218	117	199	1031	80	178	0	0	0	251	1227	1078	1306	26	398	252	0	0	6	51	285	598
MSM79HAL	973	657	17	255	0	335	3050	2	0	236	151	31	70	380	202	161	0	0	84	35	112	929	1016	6	514	272	0	0	34	15	14	449
MSM79HAN	1884	506	18	396	0	352	761	2	0	138	238	26	81	348	189	327	0	0	1094	121	768	507	860	13	476	257	0	0	54	13	30	542
MSM79HAR	648	572	31	1105	0	557	735	49	0	206	775	135	757	428	185	179	0	0	690	14	161	556	785	11	613	193	0	1	109	7	215	284
MSM79HAT	2126	566	56	659	0	446	1030	0	0	26	294	37	111	398	148	419	0	0	355	78	669	284	506	17	900	324	0	1	51	0	135	364
MSM79HBZ	0	0	0	0	0	0	0	0	4966	0	0	0	0	0	0	0	0	0	2530	0	0	0	2496	0	0	0	0	0	0	0	0	7
MSM79HDA	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	883	0	0	0	8984	0	0	0	0	0	0	0	129	0
MSM79HDC	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	193	0	1315	0	7020	0	0	0	0	0	1411	0	59	1
MSM79HDE	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	41	1745	345	0	7691	0	0	0	0	0	144	0	30	1
MSM79HDG	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	38	576	585	0	8657	0	0	0	0	0	120	0	19	0
MSM79HDG_TR	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	565	451	0	8858	0	0	0	0	0	75	0	7	0
MSM79HDI	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	13	1167	2550	0	4982	0	0	0	0	0	1237	0	46	0
MSM79HEA	0	0	0	0	0	0	0	0	141	0	0	0	0	4689	2569	0	0	185	12	0	0	0	2302	0	0	0	1	0	49	5	30	17
MSM79HF3	389	413	10	244	0	233	1109	0	0	494	41	10	22	620	53	118	0	0	1716	44	1971	666	946	3	406	132	0	0	27	48	132	152
MSM79HF5	636	1068	18	1270	0	399	853	0	0	233	232	85	173	455	169	211	0	0	880	18	374	442	1096	8	606	202	0	0	49	5	228	294
MSM79HF7	424	149	1	237	0	537	653	0	0	947	55	56	56	647	185	65	0	0	3473	46	303	100	691	4	288	129	7	0	63	500	74	311
MSM79HF9	2068	278	0	391	0	266	212	0	0	54	31	8	190	690	128	129	0	0	794	115	1919	15	791	7	789	309	0	0	11	4	444	356
MSM79HF9_TR	2312	340	0	421	0	153	214	0	0	40	27	9	182	642	156	136	0	0	722	135	2048	20	703	4	726	290	0	0	3	2	391	325
MSM79HFB	1453	582	14	193	0	307	799	18	0	233	29	70	47	874	193	175	0	0	36	265	658	703	1284	25	465	546	0	0	6	69	51	905
MSM9VZEU	0	0	0	0	0	0	0	0	2628	0	0	0	0	0	0	0	0	0	2	238	1566	0	4512	0	0	0	1	0	907	0	23	123
MSM9VZEW	0	0	0	0	0	0	0	0	4112	0	0	0	0	0	0	0	0	0	11	335	499	0	3966	0	0	0	1	0	539	0	22	515
MSM9VZEY	0	0	0	0	0	0	0	0	5300	0	0	0	0	0	0	0	0	0	2	835	280	0	2766	0	0	0	1	0	371	0	39	406
MSM9VZF1	0	0	0	0	0	0	0	0	1625	0	0	0	0	0	0	0	0	0	10	284	632	0	5849	0	0	0	0	0	918	0	37	645
MSM9VZF3	0	0	0	0	0	0	0	0	4901	0	0	0	0	0	0	0	0	0	9	619	1036	0	1521	0	0	0	1	0	1624	0	25	264
MSM9VZF5	0	0	0	0	0	0	0	0	2611	0	0	0	0	0	0	0	0	51	26	622	565	0	4777	0	0	0	1	0	610	0	35	701
MSM9VZIM	0	0	0	0	0	3	0	0	930	0	0	0	26	1	1366	0	0	1608	24	11	0	0	449	1748	0	0	2	0	3397	0	374	62
MSM9VZIO	0	0	0	0	0	0	0	0	1851	0	0	0	21	0	1833	0	0	771	466	40	0	0	2265	1134	0	0	0	0	1317	0	245	57
MSM9VZIQ	0	0	0	0	0	0	0	0	303	0	0	0	21	0	5192	0	0	320	7	108	0	0	1082	696	0	0	2	0	1893	0	377	0
MSM9VZIS	0	0	0	0	0	0	0	0	352	0	0	0	21	0	5595	0	0	286	0	9	0	0	513	546	0	0	2	0	2472	0	204	1
MSM9VZIU	0	0	0	0	0	0	0	0	1211	0	0	0	41	2	1803	0	0	419	0	52	0	0	1431	1054	0	0	0	0	3910	0	77	1
MSM9VZIW	0	0	0	0	0	0	0	0	515	0	0	0	48	0	4890	0	0	222	0	25	0	0	974	743	0	0	1	0	2557	0	23	1
MSM9VZLL	593	506	88	673	0	402	355	2	0	25	647	39	254	352	154	101	0	0	4178	9	103	123	67	4	802	118	0	0	5	0	226	172
MSM9VZLN	2107	600	51	457	0	624	910	4	0	69	124	33	137	556	567	638	0	0	783	29	364	336	520	14	514	261	0	0	5	2	38	258
MSM9VZLP	1345	522	14	551	0	591	725	13	0	168	163	80	111	534	383	224	0	0	1978	24	602	264	433	10	630	239	0	0	7	14	121	256
MSM9VZLR	1139	735	15	235	0	216	243	1	0	37	280	39	338	300	296	97	0	0	2947	74	1294	251	501	3	480	107	0	0	16	1	147	209
MSM9VZLT	590	51	3	137	0	315	714	6	4	246	68	151	17	209	46	22	0	0	1654	124	909	586	1956	2	256	177	0	0	213	399	258	888
MSM9VZLV	1050	103	88	181	0	107	875	6	0	120	50	149	23	266	205	48	12	0	2078	109	1264	190	1761	4	193	156	0	23	119	150	119	553
MSM9VZNR	0	0	0	0	0	1	0	0	0	0	0	0	283	0	8101	0	0	202	116	46	0	0	747	82	0	0	7	0	339	0	71	5
MSM9VZNX	0	0	0	0	0	2	1	0	2596	0	0	0	122	0	2586	0	0	267	1145	16	0	0	204	225	0	0	3	0	2757	0	31	44
MSM9VZNZ	0	0	0	0	0	0	0	0	921	0	0	0	66	0	3120	0	0	361	1	1	0	0	657	466	0	0	1	0	4050	0	312	44
MSM9VZO2	0	0	0	0	0	1	0	0	1153	0	0	0	36	0	6699	0	0	437	6	14	0	0	422	256	0	0	2	0	819	0	132	24
MSM9VZOS	0	0	0	0	0	0	0	0	5192	0	0	0	0	0	1	0	0	0	41	0	0	0	1890	0	0	0	0	0	2520	0	31	324
MSM9VZOU	0	0	0	0	0	2	0	0	4585	0	0	0	0	1	1	0	0	73	20	0	0	0	3425	0	0	0	0	0	1384	0	19	490
MSM9VZOW	0	0	0	0	0	0	0	0	6800	0	0	0	0	0	0	0	0	0	36	0	0	0	2201	0	0	0	1	0	510	0	16	436
MSM9VZOY	0	0	0	0	0	1	0	0	2948	0	0	0	0	0	0	0	0	65	29	163	516	0	3722	0	0	0	1	0	1045	0	33	1479
MSM9VZP1	0	0	0	0	0	1	0	0	4487	0	0	0	0	1	2	0	0	2	18	0	1	0	1817	0	0	0	1	0	3498	0	21	152
MSM9VZP3	0	0	0	0	0	0	0	0	6163	0	0	0	0	0	1	0	0	0	42	0	0	0	1229	0	0	0	1	0	2479	0	29	55
MSMA267V	21	127	349	139	9	85	0	317	0	519	140	368	51	155	221	170	85	0	0	32	88	3924	2180	36	5	91	37	0	276	56	126	395
MSMA267X	14	40	369	167	80	351	0	197	0	703	284	632	134	123	224	137	5	0	0	79	26	4850	895	35	9	112	57	0	36	2	65	376
MSMA2684	0	21	77	31	14	174	0	131	0	682	25	633	39	699	301	48	21	0	1	127	16	3438	3138	36	3	167	0	0	3	0	12	163
MSMA2688	0	76	10	718	0	129	108	8	0	115	208	38	48	135	42	251	0	0	6736	1	253	33	391	0	353	226	0	0	3	1	42	73
MSMA26AV	0	118	580	479	161	79	0	174	0	873	86	0	0	1117	1280	0	0	0	0	720	111	0	3629	85	29	89	0	0	128	0	216	44
MSMA26AX	0	133	274	187	97	67	0	328	0	805	407	0	0	1141	2644	0	0	0	0	127	44	0	2176	85	26	103	8	0	1326	0	15	6
MSMA26AZ	0	112	668	411	94	196	0	461	0	1447	334	0	0	571	2620	0	0	0	0	81	6	0	2210	10	37	91	0	0	611	0	25	12
MSMA26AZ_TR	0	161	848	398	101	60	0	391	0	1240	298	0	0	953	2227	0	0	0	0	88	3	0	2489	54	31	95	0	0	538	0	11	14
MSMA26EH	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	7550	0	0	0	210	0	0	0	0	0	0	0	2016	207
MSMA26EJ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1209	0	0	3278	0	0	0	0	0	4811	636	62	2
MSMA26EL	0	0	6	0	0	0	0	0	0	0	0	0	0	18	36	0	0	0	25	1633	17	0	4923	0	0	0	0	0	2197	625	510	9
MSMA26EN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	835	98	0	7595	0	0	0	0	0	746	603	111	1
MSMA26EP	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	9782	0	0	0	104	0	0	0	0	0	0	0	0	0
MSMA26ER	12	18	0	376	0	464	386	90	0	995	48	112	185	631	249	0	0	0	2351	508	468	695	525	0	900	190	0	3	20	106	155	511
MSMA26ET	0	152	12	453	0	134	94	4	0	179	113	34	44	146	57	105	0	0	7579	13	53	2	489	0	15	143	60	0	3	3	46	68
MSMA26EZ	0	64	2	180	0	188	98	14	0	276	90	106	114	385	67	22	0	0	613	0	3546	7	3124	4	204	102	342	0	8	19	139	286
MSMAPC55	319	333	693	206	0	430	2283	0	27	0	400	0	176	352	216	0	132	306	3	71	2455	200	515	43	0	331	0	0	136	45	86	242
MSMAPC57	0	0	0	0	0	0	0	0	268	0	0	0	14	0	2929	0	0	214	10	37	0	0	704	421	0	0	0	0	5354	0	46	3
MSMAPC59	0	0	0	0	0	2	0	0	983	0	0	0	19	4	1948	0	0	893	64	264	0	0	1857	185	0	0	1	0	3730	0	46	4
MSMAPC5B	0	0	0	0	0	1	0	0	1387	0	0	0	37	0	1124	0	0	86	11	99	0	0	908	430	0	0	2	0	5863	0	44	8
MSMAPC5D	0	0	0	0	0	1	0	0	288	0	0	0	41	0	3472	0	0	475	0	346	0	0	1373	191	0	0	0	0	3775	0	30	7
MSMAPC5Z	0	20	280	3394	10	339	0	97	0	404	1040	435	316	160	156	49	40	0	350	1	0	92	1214	93	3	191	0	0	12	83	28	1194
MSMAPC64	0	8	215	390	43	177	0	78	0	1022	578	324	67	210	274	66	209	39	4	4	77	3116	737	26	39	265	0	0	89	6	344	1591
MSMAPC66	0	24	200	389	4	61	0	245	0	796	186	733	288	359	257	103	193	0	51	16	287	3064	1219	36	20	252	27	0	219	4	116	850
MSMB4LYH	0	6	207	330	3	134	0	306	0	1219	135	935	131	253	319	44	330	0	0	94	246	1470	3047	18	8	140	20	0	23	36	171	374
MSMB4LZ4	0	75	294	124	19	94	0	196	0	337	319	0	0	312	1025	0	0	0	0	548	1148	0	4140	28	28	82	0	0	1030	151	45	5
MSMB4LZP	0	0	0	0	0	0	0	0	836	0	0	0	36	0	3303	0	0	54	2	33	0	0	1180	188	0	0	1	0	4302	0	61	2
MSMB4LZR	0	0	0	0	0	2	0	0	866	0	0	0	119	0	5388	0	0	571	16	0	0	0	278	82	0	0	2	0	2612	0	58	6
PSM6XBSE	0	2	0	56	0	0	244	0	1014	0	86	0	15	61	525	89	0	0	0	0	1680	0	2899	0	0	0	15	0	2505	603	65	140
PSM6XBT3	217	0	0	814	0	0	0	0	210	0	3955	0	1157	0	2461	0	0	60	178	0	2	0	467	32	107	0	170	0	0	162	0	8
PSM6XBT5	74	0	0	486	0	0	0	0	83	0	2226	0	1468	0	4573	0	0	13	0	0	178	0	560	26	70	0	156	0	0	67	0	19
PSM6XBT7	0	0	0	879	0	0	0	0	107	0	859	0	558	0	2491	0	0	0	5	0	295	0	374	64	37	0	108	0	3897	263	24	39
PSM6XBT9	0	0	0	425	0	0	0	0	80	0	1320	0	600	0	2663	0	0	0	9	0	159	0	242	13	19	0	145	0	3946	373	0	6
PSM6XBTB	0	0	10	695	0	8	0	0	207	12	2050	0	1757	33	2401	0	0	0	16	6	246	0	109	35	101	0	137	0	1960	144	7	66
PSM6XBVI	0	241	0	1086	0	0	1000	0	1672	0	50	0	645	782	1227	1862	0	75	0	0	126	0	491	24	0	31	301	0	0	14	269	103
PSM6XBVK	0	0	0	280	0	0	4667	0	1437	0	304	0	52	114	1904	204	0	0	0	0	275	0	585	0	0	10	86	0	0	30	41	10
PSM6XBVM	0	311	0	1638	0	0	2949	0	728	1	293	1	83	350	1287	902	0	29	25	0	86	0	621	8	0	161	0	0	0	372	103	51
PSM6XBVO	0	271	0	1113	0	0	2475	0	457	0	646	0	11	1456	1222	894	0	14	1	0	313	0	807	14	0	132	27	0	0	43	92	13
PSM6XBVQ	0	24	0	771	0	0	2086	0	598	0	239	0	52	584	1727	272	0	37	30	0	1201	0	2153	7	0	76	58	0	0	23	23	37
PSM6XBVS	0	0	0	909	0	0	4023	0	225	0	1002	0	4	926	1089	147	0	0	0	4	674	0	722	0	0	89	0	0	0	172	8	5
PSM7J127	0	0	0	676	0	0	0	0	212	0	1897	0	3049	0	2210	0	0	0	2	0	75	0	166	11	55	0	166	0	1410	52	10	9
PSM7J12B	0	0	0	689	0	0	0	0	352	0	1228	0	2499	0	4166	0	0	0	18	0	78	0	239	0	81	0	263	0	335	41	3	7
PSM7J12D	0	0	0	1685	0	1	0	0	523	0	2012	1	1724	1	2353	0	0	0	7	0	20	0	1212	0	63	0	211	0	40	146	0	2
PSM7J12F	0	0	0	1530	0	0	0	0	164	0	1355	0	1510	0	4532	0	0	0	0	0	7	0	532	0	69	0	152	0	7	139	0	3
PSM7J12V	0	0	156	396	3	38	0	0	242	0	127	827	20	303	261	189	0	0	0	120	5749	0	1193	35	34	35	14	0	123	0	62	73
PSM7J12Z	0	1	506	347	25	147	0	0	244	0	159	2270	16	396	227	623	0	0	2	1	2283	220	1544	72	62	566	0	0	0	111	25	152
PSM7J169	0	0	0	1099	0	0	0	0	103	0	560	0	1223	0	2156	0	0	0	0	0	1003	0	1286	0	45	0	130	0	1810	567	9	8
PSM7J16B	0	0	0	236	0	0	0	0	75	0	0	0	70	0	404	0	0	0	8508	0	11	0	607	0	0	0	30	0	0	0	0	58
PSM7J16F	0	0	0	950	0	0	0	0	124	0	662	0	2279	0	4200	0	0	0	55	0	211	466	474	0	138	0	332	0	22	73	7	7
PSM7J16H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9778	0	0	0	222	0	0	0	0	0	0	0	0	0
PSM7J18Q	0	1427	0	741	0	0	2563	0	192	0	1026	0	89	359	707	1506	0	23	0	10	144	0	240	9	0	180	395	23	257	73	19	17
PSM7J193	0	0	0	430	0	0	0	0	61	0	3106	0	2579	0	2095	0	0	0	0	0	45	0	872	37	99	0	300	0	238	111	0	24
PSM7J1AM	0	0	0	1173	0	0	0	0	406	0	1483	0	2823	0	2048	0	0	0	149	0	85	0	1203	46	63	0	172	0	170	73	11	93
PSM7J1AO	0	0	0	646	0	0	0	0	321	0	2905	0	2196	0	2613	0	0	0	15	0	75	0	613	56	48	0	112	0	82	290	0	32
PSM7J1AQ	0	0	0	479	0	0	0	0	150	0	1816	0	2008	0	3637	0	0	0	0	0	81	0	336	84	39	0	114	0	1145	51	8	51
PSM7J1AS	0	0	0	910	0	0	0	0	358	0	1769	0	1755	0	3545	0	0	0	21	0	433	0	212	25	57	0	130	0	127	629	7	23
PSM7J1AU	0	0	0	1243	0	0	0	0	379	0	1675	0	2241	0	3263	0	0	0	2	0	332	0	563	5	38	0	100	0	64	88	3	4
PSM7J1B7	0	143	0	885	0	0	4105	0	131	0	670	0	82	1643	889	396	0	32	0	0	119	0	63	0	0	540	47	0	152	93	0	9
PSM7J1B9	0	226	0	1759	0	0	3236	0	198	0	312	0	49	564	949	528	0	182	16	0	829	0	497	5	0	367	19	0	20	213	14	19
PSM7J1BB	0	83	0	328	0	0	2755	0	154	0	364	0	10	703	969	112	0	8	0	2	1531	0	870	2	0	110	15	0	1324	610	26	27
PSM7J1BD	0	285	0	427	0	0	3845	0	183	0	147	0	26	1149	302	464	0	207	0	0	810	0	548	4	0	314	0	0	1045	211	8	25
PSM7J1BF	0	202	0	479	0	0	2913	0	188	0	200	0	28	857	346	463	0	72	0	0	1499	0	709	5	0	323	0	0	1184	488	25	18
PSM7J1BH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10000
PSM7J1BV	0	0	404	305	43	110	0	0	258	0	560	5278	6	493	262	624	21	1	0	21	21	0	249	19	69	1170	0	0	37	19	0	31
PSM7J1BX	0	0	211	244	2	30	0	0	443	0	316	2003	0	818	156	1259	22	0	0	7	0	3	3584	67	66	644	0	0	0	5	5	113
PSM7J1C4	0	3	390	192	74	160	0	0	176	0	1174	2699	5	542	424	151	105	0	0	15	94	56	1452	58	218	1634	0	0	5	15	0	358
PSMA264K	0	0	0	182	0	24	0	0	274	0	121	5765	0	235	342	37	0	0	0	0	0	0	3008	0	0	0	0	0	0	0	0	11
PSMA264O	0	0	0	853	0	0	0	216	0	469	115	83	293	51	310	0	44	142	0	23	36	0	1843	22	1	59	59	5174	26	177	4	1
PSMA264Q	0	0	0	1226	0	0	0	275	0	519	121	142	186	44	386	0	7	309	0	0	17	0	1162	10	2	224	80	5169	50	28	7	36
PSMA264S	0	0	0	549	0	0	0	180	0	741	57	136	102	29	236	0	29	180	0	24	65	0	1021	9	1	147	77	6112	20	149	5	130
PSMA264U	0	0	0	320	0	0	0	270	0	750	80	158	66	34	402	0	4	56	1	99	126	0	2684	7	2	87	55	4263	120	134	8	273
PSMA264W	0	0	0	412	0	0	0	205	0	740	103	189	74	92	313	0	33	57	0	241	82	0	3301	16	1	101	65	3446	97	133	11	286
PSMA265X	0	203	0	0	0	0	0	0	1392	0	96	0	145	613	3989	0	0	5	7	53	1368	0	1267	61	65	307	0	0	120	3	105	200
PSMA266U	0	6	0	0	0	0	0	0	267	0	30	0	7	117	1548	0	23	3	4	13	5243	0	1856	8	24	153	0	0	231	5	383	79
PSMA266Y	0	30	0	0	0	0	0	0	684	0	358	0	107	165	4977	0	7	102	0	28	1076	0	1698	26	48	440	0	0	112	13	18	112
PSMA2671	0	65	0	0	0	0	0	0	614	0	131	0	62	309	3041	0	1	145	1	79	2705	0	1770	9	26	400	0	0	382	21	53	188
PSMA2675	0	90	0	0	0	0	0	0	445	0	144	0	232	395	1596	0	8	46	0	182	1530	0	3862	45	91	334	0	0	483	35	102	380
PSMA267J	0	0	0	383	0	0	0	380	0	968	85	122	121	106	189	0	4	5	0	80	16	0	2137	10	1	91	52	4945	23	79	6	198
PSMA267P	0	0	0	600	0	0	0	221	0	887	72	114	478	136	101	0	66	164	0	0	19	0	493	3	1	354	23	5676	102	75	9	404
PSMA267R	0	0	0	116	0	0	0	91	0	540	25	54	44	57	83	0	12	236	0	10	654	0	1211	2	0	159	0	6256	97	69	2	282
PSMA269S	0	131	0	0	0	0	0	0	1164	0	218	0	195	486	2356	0	5	277	5	79	659	0	3283	53	102	467	0	2	17	3	106	391
PSMA269W	0	130	0	0	0	0	0	0	2742	0	110	0	69	297	2145	0	17	316	14	106	650	0	1914	25	74	538	0	0	0	2	128	722
PSMA26A1	0	347	0	0	0	0	0	0	1427	0	107	0	128	530	2672	0	12	257	1	104	486	0	2534	92	40	800	0	0	1	7	39	415
PSMA26A3	0	15	0	0	0	0	0	0	557	0	121	0	39	192	2085	0	54	147	50	58	2922	0	2753	41	29	211	0	0	240	19	70	397
PSMB4MBI	0	0	0	28	0	0	0	134	0	267	29	119	11	17	119	0	21	151	0	17	323	0	2202	1	1	222	2	5682	20	25	3	605
PSMB4MBK	0	0	0	311	0	0	0	168	0	640	20	106	102	65	124	0	104	2169	0	124	665	0	3725	8	1	212	0	260	16	201	37	944
PSMB4MC1	0	387	1	0	0	0	0	0	1708	2	277	0	257	238	3028	0	7	169	27	51	1048	0	1703	90	144	553	0	0	15	7	82	207
PSMB4MC3	0	89	0	0	0	0	0	0	878	0	501	0	148	279	4771	0	0	215	0	16	237	0	2021	27	30	407	0	0	196	5	9	171
PSMB4MC5	0	24	0	0	0	0	0	0	516	0	82	0	66	57	3216	0	3	31	0	33	2049	0	2178	20	22	184	0	1	1054	20	365	78
PSMB4MC7	0	0	0	190	0	0	0	386	0	910	48	174	99	80	275	0	7	532	0	79	1368	0	1391	2	2	368	28	3116	70	302	4	570
CSM5FZ4A_P	14	0	0	530	7	15	0	139	0	0	705	3531	4	1334	2638	0	0	0	0	9	59	0	224	146	289	255	0	0	0	16	3	84
CSM5FZ4E_P	0	285	847	6	0	607	0	0	0	0	2276	0	298	4694	8	0	0	0	0	0	0	58	558	27	1	2	189	0	0	0	15	130
ESM5GEZ4_P	0	0	0	419	0	285	0	0	0	361	774	0	1069	720	1076	0	52	225	0	415	365	0	2463	136	0	1104	251	39	213	16	2	13
ESM5GEZ6_P	7	20	2138	206	0	256	69	3	0	205	410	12	419	173	478	0	265	93	72	222	862	0	2158	288	0	516	164	1	755	102	50	57
ESM5GEZA_P	0	0	2481	252	0	229	0	0	0	60	804	0	542	188	715	0	98	53	6	125	382	0	1638	108	0	1232	620	0	337	70	2	58
ESM5MEAB_P	0	5	6	2	0	67	0	4	0	25	536	4210	0	712	472	5	0	32	82	440	0	0	1584	0	3	1564	0	0	0	0	88	165
CSM5MCUA_P	261	0	0	597	7	36	0	339	0	0	604	3402	1	1259	2109	0	0	0	0	0	329	0	18	199	181	526	0	0	0	3	10	116
CSM5MCUS_P	2	80	286	0	51	0	0	0	20	0	0	1363	45	709	1	0	0	0	1444	59	1224	24	2059	34	46	1058	0	0	369	183	35	909
HSM5MD47_P	0	0	0	243	0	846	0	0	244	0	190	173	12	392	0	0	0	75	684	0	1498	0	5154	0	0	72	0	35	0	85	0	297
ESM5MEA9_P	0	17	0	0	0	62	0	0	0	0	544	4136	0	1845	554	0	0	0	66	479	0	0	479	59	0	1113	0	0	403	0	115	127
HSM5MD44_P	0	0	0	23	0	99	0	0	451	0	15	10	15	111	0	0	0	0	198	0	4091	0	4697	0	0	0	0	0	0	0	260	30
CSM5MCYU_P	2923	0	0	21	0	188	0	0	0	0	42	59	0	124	82	0	0	0	3	25	1591	0	651	112	68	0	2	4016	10	30	21	31
HSM6XRQE_P	0	0	0	0	0	159	0	0	0	607	342	914	0	91	1056	0	1132	0	1336	0	1652	0	2431	0	0	0	84	0	0	0	0	196
CSM5MCYQ_P	0	0	0	0	0	0	0	0	364	0	330	2591	398	1986	431	0	674	26	53	521	35	0	1559	35	0	0	0	0	748	24	177	48
CSM67U9P_P	0	0	0	1824	0	485	1	0	0	0	259	272	0	3767	471	0	0	0	108	3	135	793	183	313	304	0	94	147	0	0	50	793
CSM67UEP_P	0	0	0	0	0	0	0	0	456	0	93	3047	350	286	348	0	3388	82	71	153	23	0	561	7	0	0	0	0	955	73	47	60
CSM67U9R_P	0	0	0	779	0	783	0	0	0	0	445	735	0	4808	321	0	0	0	4	0	104	18	156	193	668	0	120	743	0	0	50	72
CSM79HGH_P	0	0	0	966	0	543	0	0	0	0	422	733	0	3026	667	0	0	0	3	0	334	545	869	381	602	0	51	389	0	0	13	456
MSM6J2N6_P	0	34	181	0	0	90	0	0	0	0	85	0	12	64	168	157	198	0	0	37	95	0	296	20	0	92	0	8437	6	0	0	28
CSM67UET_P	0	0	0	0	0	0	0	0	399	0	327	4672	384	320	315	0	665	141	60	403	53	0	1281	78	0	0	0	0	491	0	267	144
HSM7CZ1T_P	18	378	0	0	0	0	0	0	235	0	207	2640	175	1661	3244	0	0	0	34	2	0	0	720	55	2	0	386	0	53	135	9	46
CSM79HNG_P	62	0	3218	1	0	0	0	0	3137	0	794	0	10	0	18	0	3	98	2	126	785	0	717	23	3	0	4	12	817	85	46	40
