	Akkermansia_muciniphila	Alistipes_onderdonkii	Alistipes_putredinis	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_eggerthii	Bacteroides_finegoldii	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Dialister_invisus	Escherichia_coli	Eubacterium_eligens	Eubacterium_rectale	Eubacterium_siraeum	Faecalibacterium_prausnitzii	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Prevotella_copri	Roseburia_intestinalis	Roseburia_inulinivorans	Ruminococcus_torques	Subdoligranulum_unclassified
CSM9X21J	0	73	0	187	0	1	0	1032	2	0	1475	2064	183	0	931	0	7	0	4	637	416	0	1295	56	614	910	0	0	0	10	56	46
CSM9X21L	1	70	1	141	0	0	0	515	12	0	916	2219	68	4	792	0	30	0	8	174	413	0	3381	124	720	306	5	0	1	0	39	61
CSM9X21N	0	109	0	400	0	0	0	1195	13	0	1882	2695	268	0	850	0	5	0	9	166	325	0	713	48	561	637	0	0	0	2	25	98
CSM9X22G	980	1037	1567	5	339	2	0	0	92	933	466	243	22	2255	448	0	57	0	40	16	39	157	230	28	44	585	194	0	35	3	56	129
CSM9X22I	1124	607	746	0	353	1	0	0	0	695	742	182	12	3393	190	0	19	0	0	25	50	698	545	26	15	366	58	0	4	0	45	104
CSM9X22K	277	638	1366	0	309	0	0	0	4	675	611	502	7	2795	437	0	0	0	0	6	345	103	291	12	22	1358	0	0	116	17	60	48
CSM9X22S	0	0	0	801	0	40	1348	1765	0	0	210	0	513	1212	930	0	0	0	0	381	239	0	1688	78	223	0	244	0	1	252	23	51
CSM9X22U	0	0	0	603	0	258	2908	1351	0	0	21	0	264	848	688	0	0	0	0	259	169	0	2232	48	99	0	62	0	4	105	31	49
CSM9X23H	0	0	0	223	0	64	5770	1264	0	0	415	1	396	766	289	0	0	0	0	15	16	0	416	48	125	0	118	0	29	9	10	27
CSM9X23N	0	1	0	736	0	53	2319	915	8	2	230	4	907	2318	678	0	0	0	2	0	76	0	961	255	300	0	173	0	0	32	4	25
ESM5ME9U	0	0	2726	193	0	141	0	0	0	255	497	0	151	1012	835	0	303	117	0	279	1231	2	897	66	0	1063	0	0	50	20	79	82
ESM5MEBS	2	0	1898	457	0	275	0	0	0	125	560	0	952	2031	889	0	71	514	0	56	281	0	710	97	0	403	405	1	51	152	24	46
ESM5MEBU	0	0	1785	115	0	188	0	0	0	302	618	0	553	1627	1089	0	33	162	0	176	526	0	728	28	0	530	162	0	1230	100	11	37
ESM5MEC3	0	0	3251	134	0	233	0	0	0	451	529	0	632	121	513	0	256	393	0	56	373	6	1062	127	0	1292	0	0	344	99	28	100
ESM5MEC5	0	0	1429	103	0	221	0	0	0	498	806	0	762	2411	1065	0	32	146	0	10	254	4	329	51	0	622	187	0	946	67	35	20
ESM5MEC9	0	5	0	0	0	97	0	0	0	0	1882	4334	0	727	603	0	0	0	2	0	264	0	1569	5	0	474	0	0	0	0	10	29
ESM5MEDU	0	0	1242	257	0	188	0	0	0	879	719	0	959	1291	1220	0	167	351	0	229	415	5	816	71	0	661	0	0	122	336	29	46
ESM718SY	0	0	2718	137	0	373	0	0	0	533	783	1	558	525	945	0	234	238	0	118	552	12	713	107	0	1015	44	0	216	95	36	46
HSM5MD3Y	0	0	0	1269	0	364	0	0	953	0	440	567	0	1696	4	0	0	0	192	0	621	0	2033	0	237	1490	0	0	0	26	50	59
HSM5MD41	0	0	0	1302	0	130	0	0	1968	0	1272	1971	0	2115	0	0	0	8	111	0	118	7	324	12	309	306	0	0	0	6	27	15
HSM5MD43	0	0	0	652	0	131	0	0	684	0	2407	1660	0	1598	0	0	0	29	45	0	168	8	2201	4	58	52	0	0	0	12	118	172
HSM67VGY	0	0	0	668	0	332	0	0	227	0	1115	178	0	3213	0	0	0	2	2	4	284	7	2891	0	394	534	0	0	0	62	47	38
HSM67VH1	0	0	0	612	0	145	0	0	2	0	255	551	0	1063	0	0	0	0	0	71	372	0	3891	1	86	419	0	0	2467	7	37	21
HSM6XRR5	15	9	61	0	0	0	0	0	3	1014	290	1835	36	964	338	12	662	0	174	24	1231	441	2310	34	0	74	0	13	0	65	125	267
HSM6XRR7	0	18	112	0	0	2	0	0	0	185	114	3827	239	523	422	49	767	0	169	99	1019	75	2056	79	1	49	0	0	0	3	24	168
HSM6XRR9	0	0	0	0	0	0	0	0	0	0	0	4678	0	0	3198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2124
HSM6XRRB	0	0	0	0	0	9839	0	0	0	0	0	0	0	0	1	0	0	0	0	94	0	0	0	13	0	0	0	0	0	14	23	15
HSM6XRRD	0	1	143	0	0	0	0	0	0	755	170	4243	0	634	343	12	118	0	1	113	926	54	971	34	1	146	0	627	0	638	11	59
HSM6XRTM	0	0	0	1654	0	545	0	0	325	0	807	435	0	1614	0	0	0	104	2	0	1495	42	1902	22	315	569	0	0	0	78	65	26
HSM6XRTO	0	0	1	2183	0	493	0	0	581	0	2757	286	0	1582	8	0	0	103	21	14	271	16	1094	0	124	378	0	0	0	8	58	21
HSM6XRTQ	0	0	0	243	0	1783	0	0	5	0	261	463	0	609	2	0	0	61	66	40	251	0	6094	22	35	2	0	0	0	0	10	53
HSM6XRTS	0	0	0	1645	0	204	0	0	224	0	1283	204	0	3280	2	0	0	0	6	139	476	36	1399	66	421	506	0	0	0	3	68	36
HSM6XRUX	0	3	245	1	0	27	0	0	1	952	913	2605	10	805	581	73	549	0	72	16	603	500	749	86	1	892	0	4	1	18	11	282
HSM6XRUZ	0	0	153	0	0	0	0	0	0	498	388	2649	2	737	659	11	511	0	44	115	1682	34	1955	45	0	123	0	87	0	93	44	169
HSM6XRV2	0	7	170	1	0	1	0	0	0	1489	406	1649	27	432	456	62	213	0	55	260	2627	138	1053	49	2	166	9	80	0	444	78	126
HSM6XRV4	0	7	122	0	0	0	0	0	0	1058	269	1915	5	1064	234	23	169	0	0	170	1197	175	3001	24	0	171	0	77	0	188	11	120
HSM6XRV6	3	9	326	0	0	0	0	0	0	1291	265	1819	32	420	403	31	194	0	1	81	1678	142	2348	29	1	397	0	124	0	199	24	182
HSM6XRV8	0	14	106	0	0	0	0	0	0	457	173	584	6	65	213	7	1827	0	126	35	2223	55	2700	15	1	165	0	165	0	640	38	386
HSM7CZ1V	0	85	3	0	0	0	0	0	437	2	725	1712	484	1528	3815	0	4	0	0	75	0	0	495	46	13	0	453	0	49	17	25	31
HSM7CZ1Z	1	1228	2	6	0	1	0	1	450	52	919	1251	267	1345	1960	7	10	0	0	242	2	0	555	112	15	2	636	716	0	24	112	82
HSM7CZ22	0	516	0	0	0	0	0	0	465	0	1544	968	228	1704	2219	0	39	0	10	0	0	0	1329	38	257	0	292	0	214	80	61	36
HSM7J4GP	0	776	0	0	0	1	0	0	286	0	632	935	527	1311	2750	0	6	0	0	148	0	0	1418	26	22	0	1049	0	21	7	20	63
HSM7J4GR	0	356	0	0	0	23	0	0	459	0	288	695	271	2439	3458	2	6	0	16	78	0	0	857	36	25	18	886	0	40	0	25	23
HSM7J4HM	0	0	322	47	0	0	0	0	0	0	624	0	0	0	4	0	0	5	5	165	5622	0	1802	0	681	508	0	1	0	51	161	2
HSM7J4HO	0	0	546	210	0	0	0	0	0	0	520	3	0	0	7	0	0	11	5	98	3280	0	3470	0	898	765	0	0	0	26	155	7
HSM7J4HQ	0	65	490	28	0	0	0	0	24	0	562	133	20	49	1516	0	15	61	78	158	1251	0	3904	211	717	645	0	3	0	0	67	3
HSM7J4HS	0	0	432	5	0	0	0	0	0	132	5	530	0	0	119	0	212	0	0	25	5217	0	2790	23	285	64	0	0	0	0	161	0
HSM7J4HU	0	0	1541	361	0	0	2	0	0	674	19	2983	0	65	825	0	4	77	773	7	1096	0	557	34	749	209	0	0	0	0	16	10
HSM7J4JZ	0	0	129	44	2	0	456	0	0	419	24	1017	0	400	424	0	118	0	0	27	4234	0	2249	46	118	2	0	0	5	0	282	5
HSM7J4K2	0	30	780	215	73	0	676	0	0	350	247	2993	0	1684	383	0	48	1	0	31	697	0	1239	31	91	58	304	0	33	0	32	4
HSM7J4K4	0	0	0	21	0	3	43	0	23	145	15	1537	0	327	1074	0	0	0	104	0	2669	0	2227	0	0	3	0	0	901	0	108	800
HSM7J4K6	0	2	307	186	8	0	213	0	0	292	196	3705	0	1295	302	0	36	37	285	49	739	0	900	48	44	46	102	0	30	0	99	1080
HSM7J4K8	0	0	301	112	9	0	392	0	2	172	83	1195	1	521	102	0	47	41	0	16	3084	0	1483	25	1	69	123	37	248	0	224	1711
HSM7J4KA	0	0	0	0	0	0	0	0	0	28	130	1909	0	62	1450	0	0	0	0	0	0	0	3067	0	0	0	0	0	0	0	2234	1119
HSM7J4M4	0	15	78	0	0	0	0	0	0	39	51	91	4	237	950	38	1334	0	121	160	1266	32	4881	197	0	8	4	2	0	7	58	428
HSM7J4M6	0	1	301	0	0	0	0	0	0	591	60	1264	0	878	973	33	998	0	47	184	632	6	3617	52	0	9	10	25	0	3	44	272
HSM7J4M8	0	3	231	0	0	3	0	0	0	493	320	1323	4	821	512	124	1260	0	3	187	1298	18	2927	103	0	107	0	6	1	17	24	214
HSM7J4MA	0	5	331	0	0	2	2	0	0	445	145	1426	1	860	386	61	1021	0	5	188	1301	106	3126	96	1	25	0	25	0	129	41	273
HSM7J4MC	7	32	402	0	0	34	0	0	11	572	502	2753	22	573	450	227	968	0	31	50	902	15	1902	50	0	90	9	2	0	12	27	357
HSM7J4ME	0	1	271	0	0	0	0	0	0	114	61	920	1	374	389	63	1018	0	21	128	1864	3	4100	106	0	45	0	8	0	26	18	468
HSM7J4NC	0	460	0	0	0	0	0	0	528	0	540	1165	914	1257	1723	0	14	0	1	99	0	0	1562	81	26	0	1381	0	142	18	40	48
HSM7J4NE	0	873	0	0	0	0	0	0	505	0	829	1943	334	639	3015	0	16	0	1	223	0	0	1045	84	9	0	358	0	10	6	80	31
HSM7J4NM	0	171	0	0	0	0	0	0	502	0	284	834	270	997	2295	0	89	0	2	50	0	0	2963	31	17	0	1049	0	253	75	72	48
HSM7J4NO	0	0	0	0	0	0	0	0	7	0	21	0	1	129	335	246	0	149	8	6	19	0	533	0	36	538	0	7826	0	97	0	46
HSM7J4NS	0	0	0	2	10	0	0	0	22	0	56	0	4	194	269	326	0	1420	21	276	303	13	2492	58	54	779	0	2716	6	622	56	302
HSM7J4NU	0	0	0	9	47	0	0	1	798	0	203	0	29	517	469	1140	0	158	30	114	343	245	2204	16	85	860	0	2047	2	144	73	465
HSM7J4PC	0	4	111	0	0	0	0	0	0	585	280	910	32	302	324	15	474	0	44	180	1855	128	3760	0	0	336	0	12	0	201	81	366
HSM7J4PE	0	8	189	0	0	1	0	0	0	478	287	2029	65	443	538	16	236	0	62	55	1421	106	3447	30	0	102	0	109	0	180	34	162
HSM7J4PG	0	3	732	927	0	18	0	57	30	443	667	228	11	1174	2062	17	90	5	9	60	596	8	1825	48	128	535	0	6	0	82	43	197
HSM7J4PI	0	3	126	0	0	0	0	0	0	439	139	360	25	420	489	20	363	0	56	124	1232	32	5400	143	0	85	0	5	0	94	29	417
HSM7J4PK	0	0	0	0	0	0	0	0	0	0	0	1044	0	465	2718	0	902	0	0	0	975	0	3691	0	0	0	0	0	0	0	0	205
HSM7J4PM	0	26	297	2	0	1	0	0	0	676	151	551	28	379	496	49	538	0	69	52	1508	24	4503	75	0	54	0	7	0	48	52	412
HSMA33IA	0	4	842	0	0	63	0	0	0	759	1107	4921	203	888	41	0	0	19	0	0	195	0	390	7	90	387	45	0	0	14	10	15
HSMA33IC	0	1	311	0	0	18	0	0	0	675	541	3850	127	506	47	0	18	92	1	0	1303	0	1169	19	162	438	232	0	190	19	232	48
HSMA33IO	1278	0	0	0	0	0	0	0	0	0	0	0	0	2598	5538	0	0	0	0	0	0	0	0	0	0	0	0	0	586	0	0	0
HSMA33IS	0	1	495	268	12	0	0	13	0	332	367	546	0	224	249	0	0	81	29	0	1430	0	3472	40	9	623	0	1460	0	51	0	298
HSMA33LB	0	0	0	0	0	0	0	0	0	447	144	847	83	281	990	0	42	3	35	0	3940	0	2836	0	13	0	26	0	0	6	167	142
HSMA33LH	0	20	123	0	0	5	0	0	0	622	475	2476	202	371	254	0	21	321	21	0	0	0	4354	0	19	127	508	0	0	0	0	80
HSMA33LH_TR	0	32	150	0	0	1	0	0	0	476	315	1790	315	320	157	0	24	458	10	0	0	0	5294	0	9	90	410	0	0	7	39	101
HSMA33LJ	0	15	600	0	0	3	0	0	0	1303	356	1364	200	341	147	0	96	237	8	0	0	0	4346	0	60	223	378	0	0	73	180	68
HSMA33LX	0	0	0	0	9	0	0	0	162	0	172	0	23	333	275	884	0	456	11	82	472	6	2742	15	76	1185	0	2442	51	241	41	321
HSMA33LZ	0	0	0	0	45	0	0	0	6	0	322	0	21	178	475	876	0	20	44	0	0	0	595	8	132	2354	0	4792	33	33	34	30
HSMA33M2	0	0	0	5	77	1	0	2	152	0	279	2	47	314	339	1137	0	2	11	56	119	24	1778	17	98	1920	0	2796	10	285	162	366
HSMA33M8	0	0	0	0	1	0	0	0	24	0	182	0	51	37	511	644	0	181	13	3	74	0	189	15	24	617	0	7112	67	198	29	27
HSMA33MA	0	20	468	140	57	23	503	0	0	313	111	1446	0	182	160	0	67	16	280	30	2055	16	1891	27	1	84	88	0	0	39	102	1881
HSMA33MC	0	110	1572	452	33	2	759	0	0	1525	261	1809	0	550	180	0	0	0	207	0	49	0	840	29	0	478	33	0	0	1	148	964
HSMA33ME	0	64	16	110	0	0	1033	3	0	1372	127	2883	0	548	758	0	0	0	0	0	2425	0	97	40	0	86	242	0	23	26	136	13
HSMA33MG	324	14	0	19	0	0	319	0	720	485	39	3716	11	297	396	0	0	0	0	0	51	0	2846	6	0	0	266	0	0	0	492	0
HSMA33MI	0	0	0	147	0	0	455	0	0	172	220	5029	0	390	419	0	0	0	0	0	1048	0	1952	11	27	0	34	0	0	0	98	0
HSMA33MK	0	3	26	48	0	0	269	0	0	2526	203	1229	0	114	371	0	0	0	0	8	3658	0	567	0	121	174	113	0	0	526	47	0
HSMA33MX	0	0	0	0	0	0	0	0	0	0	0	18	0	0	469	0	0	0	6251	0	0	0	409	0	0	0	0	2298	0	0	0	555
HSMA33MZ	0	0	0	0	0	0	0	0	0	11	3	47	0	12	39	0	0	153	0	0	1048	0	485	0	1	15	0	8170	5	10	0	2
