	Akkermansia_muciniphila	Alistipes_onderdonkii	Alistipes_putredinis	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Barnesiella_intestinihominis	Dialister_invisus	Escherichia_coli	Eubacterium_rectale	Eubacterium_siraeum	Faecalibacterium_prausnitzii	Parabacteroides_distasonis	Parabacteroides_merdae	Prevotella_copri	Roseburia_intestinalis	Ruminococcus_torques	Subdoligranulum_unclassified
CSM7KOKZ	19	0	0	0	325	0	10	4413	365	1348	115	640	1471	0	0	13	307	1	418	15	0	0	297	16	25
CSM7KOL2	9	0	0	0	316	0	5	4543	538	1024	171	438	1131	0	0	2	40	1	894	14	0	0	648	4	23
CSM7KOL4	1	64	730	474	493	0	0	0	3	38	1023	1299	2778	335	0	0	37	746	602	301	44	0	4	17	839
CSM7KOLA	0	61	543	771	474	0	0	0	5	370	156	984	1852	292	0	15	206	30	2355	234	30	0	1376	35	102
CSM7KOLE	0	22	1331	434	210	4	0	0	8	431	263	203	3400	91	0	4	369	100	1220	290	65	0	1279	14	104
CSM7KOLK	16	1769	242	347	0	634	85	0	84	1468	25	1466	1	694	0	0	0	2306	213	7	190	0	59	7	121
CSM7KOLM	10	1120	656	320	0	481	163	0	24	1269	115	4284	0	560	0	0	0	3	353	5	84	0	25	7	76
CSM7KOMB	3	19	44	484	191	382	2316	8	525	46	175	634	113	0	132	3196	51	0	580	280	0	0	22	38	40
CSM7KOMH	0	0	0	0	0	0	2383	0	6074	0	0	0	0	0	141	293	0	0	0	0	0	0	0	16	68
CSM7KOMX	0	84	817	133	0	0	0	0	743	1799	60	3132	805	0	0	0	245	12	982	99	231	0	106	14	514
CSM7KOMZ	0	253	596	354	0	0	1	0	1080	503	27	3455	756	0	0	0	433	6	1125	53	122	0	91	16	606
CSM7KON2	0	81	923	152	0	0	0	0	402	647	17	1883	678	0	0	0	679	10	3195	135	341	0	42	17	744
CSM7KON8	0	143	573	327	0	0	0	0	595	820	54	2518	697	0	0	0	683	12	2260	116	281	0	240	19	563
CSM7KONA	77	386	15	3	4241	0	0	753	416	0	0	1008	1076	6	0	138	113	0	0	48	19	0	0	54	537
CSM7KONK	23	241	86	79	2828	58	2	862	692	74	51	1067	1784	17	0	360	169	17	83	180	64	2	4	15	315
CSM7KOO5	127	0	0	506	5	2	0	3	3259	3	2	12	2542	0	0	0	4	369	2433	0	598	0	0	40	76
CSM7KOO9	745	0	0	331	0	0	0	0	1862	1	0	2	1979	0	0	0	267	795	1980	0	1936	0	0	71	30
CSM7KOOD	426	3	0	513	0	6	0	0	1627	20	0	7	1558	0	0	0	681	1256	2065	0	1719	0	0	59	58
CSM7KOOF	913	0	0	378	0	0	0	0	1704	0	4	2	762	0	0	0	125	485	4486	0	1009	0	9	31	80
CSM7KOOT	0	0	0	1368	0	1340	0	0	6968	0	0	0	0	0	0	2	83	0	31	0	0	0	0	11	13
CSM7KOOV	0	0	0	2895	0	1273	0	0	3876	0	0	0	0	0	125	19	832	0	148	0	0	0	0	263	255
CSM7KOOX	0	0	0	1349	0	557	0	0	2045	0	0	1	0	0	98	88	2515	0	116	0	0	0	0	1644	416
CSM7KOOZ	0	0	0	704	0	1821	0	0	5727	0	0	1	0	0	457	0	0	0	555	0	0	0	24	26	425
CSM7KOP2	0	0	0	1376	0	1206	1	0	6380	0	0	1	0	0	263	0	0	0	195	0	0	0	0	120	145
CSM7KOPS	0	23	0	418	0	108	1220	0	686	0	601	1602	277	0	227	18	0	0	2515	31	0	0	0	26	27
CSM7KOPU	0	119	0	930	0	196	1096	0	805	0	1234	1389	635	0	0	0	0	0	1392	7	0	0	8	94	26
CSM7KOPW	0	131	0	690	0	170	655	0	392	0	763	2328	1663	0	144	0	0	0	747	15	0	0	47	95	44
CSM7KOQ1	0	20	0	1345	0	162	914	1	175	0	706	943	563	0	58	0	0	0	3724	13	0	0	216	100	31
CSM7KOQX	0	103	435	609	3	1	0	0	202	1567	308	1669	703	0	0	0	611	215	1203	305	165	0	974	72	70
CSM7KOR2	0	57	565	1366	1	2	0	0	105	2249	314	722	1563	0	0	0	1042	117	285	237	220	0	68	102	76
CSM7KORC	0	0	0	0	100	0	5	3939	683	967	154	414	1272	0	0	0	126	5	1084	187	0	0	731	16	25
CSM7KORG	290	0	0	0	335	0	10	3312	203	1424	199	576	1822	0	0	0	516	27	647	110	0	0	351	16	32
CSM7KORI	14	0	0	0	763	0	7	3539	511	2027	437	766	1086	0	0	0	37	0	273	29	0	0	115	0	5
CSM7KORK	1	0	3	0	383	20	21	2554	750	678	114	999	1107	2	0	7	1695	14	526	41	0	0	475	46	35
CSM7KOSJ	34	0	0	0	0	0	5198	0	2585	0	0	0	1	0	1	574	493	0	4	0	0	0	0	395	23
CSM7KOSL	0	0	0	0	0	0	6094	0	2864	0	0	0	0	0	0	455	0	0	0	0	0	0	0	15	25
CSM7KOSP	160	0	0	0	0	0	5560	0	2909	2	0	1	0	0	8	504	171	0	4	0	0	0	318	27	21
CSM7KOST	284	0	0	0	0	0	3640	0	3208	0	0	2	1	0	6	373	1345	0	0	0	0	0	73	168	25
CSM7KOSV	4	1480	718	395	0	912	34	0	92	1908	58	2581	0	563	0	0	0	145	247	5	329	0	56	5	83
CSM7KOSX	72	676	880	1030	0	1889	84	0	14	961	68	1479	0	729	0	0	0	156	579	5	498	0	23	5	365
CSM7KOTA	6	116	8	91	3925	0	0	2723	71	0	0	458	988	0	0	363	39	0	0	126	19	4	0	69	32
CSM7KOTC	59	405	53	60	3862	0	0	535	72	0	5	1808	855	7	0	163	216	0	0	89	23	0	0	0	914
CSM7KOTK	46	864	78	14	4611	0	0	711	193	35	10	888	811	8	0	82	123	0	2	95	26	0	0	48	373
CSM7KOTO	0	0	0	403	0	0	0	0	867	3558	0	1385	475	0	121	0	1706	0	1127	0	0	0	0	17	15
CSM7KOTQ	0	0	0	181	0	99	1	0	502	3244	1	735	424	0	216	8	690	0	3646	1	0	0	0	3	24
CSM7KOTS	0	0	0	120	2	103	188	0	449	2684	2	518	264	0	361	109	959	0	3979	6	0	0	0	16	61
CSM7KOTU	0	0	0	179	5	151	0	10	657	2742	8	652	471	0	461	0	802	0	3473	17	0	0	1	31	38
CSM9X1YV	0	0	0	277	7	203	0	0	633	3317	2	987	588	0	190	0	769	0	2705	9	0	0	0	22	17
CSM9X1Z4	6	0	0	622	0	0	0	0	2863	0	0	1	1049	0	0	0	961	213	943	0	3106	0	26	44	51
CSM9X1ZC	438	0	0	550	0	0	0	0	2964	0	0	1	1517	0	0	0	1624	442	935	0	1367	0	0	71	86
CSM9X21R	0	0	0	279	0	110	0	0	971	4522	0	885	649	0	52	4	502	0	1631	0	0	0	0	36	16
CSM9X21T	0	0	0	247	0	1	0	0	370	3618	0	981	574	0	577	0	695	0	2557	1	0	0	0	24	35
CSM9X222	0	0	0	55	0	0	0	0	378	2345	0	594	270	0	283	0	1160	0	4516	0	0	0	0	27	41
CSM9X233	0	0	0	64	0	0	0	0	94	1566	0	440	217	0	632	4	757	0	6085	0	0	0	0	8	47
CSM9X235	0	0	0	292	0	11	0	0	311	3461	0	847	310	0	1397	0	868	1	2153	4	0	0	0	4	56
CSM9X237	0	0	0	24	0	1	0	0	204	1440	0	388	206	0	1339	14	1409	0	4826	0	0	0	0	25	52
CSM9X23B	0	0	0	356	0	0	0	0	655	3434	0	684	338	0	298	0	942	0	2939	0	0	0	0	8	42
CSMA88CB	519	0	0	271	0	391	12	0	543	0	0	0	0	0	6323	26	89	0	509	0	0	0	67	261	514
CSMA9J65	2048	0	0	684	0	1081	1626	19	650	2	3	15	26	0	218	1163	340	0	162	0	0	0	1	1210	401
CSMACTZP	2884	0	0	1504	0	898	380	0	1783	0	0	0	0	0	978	30	85	1	724	0	0	0	23	44	570
CSMAF72L	1061	0	0	926	0	2142	298	1	4103	0	0	2	0	0	933	0	35	134	115	0	0	0	7	31	92
CSMAH393	1922	0	0	2327	0	977	1968	0	1724	0	0	0	0	0	40	76	230	221	26	0	0	0	0	47	143
CSMAIG7X	84	4	1	1083	23	2096	87	10	5490	24	7	91	4	0	452	14	1	0	150	11	0	0	7	89	108
