	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_unclassified	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_faecis	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bilophila_unclassified	Bilophila_wadsworthia	Burkholderiales_bacterium_1_1_47	C2likevirus_unclassified	Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_hathewayi	Clostridium_leptum	Clostridium_symbiosum	Collinsella_aerofaciens	Coprococcus_catus	Coprococcus_comes	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Dorea_unclassified	Escherichia_coli	Escherichia_unclassified	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Holdemania_filiformis	Holdemania_unclassified	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_2_1_58FAA	Lachnospiraceae_bacterium_3_1_46FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_5_1_63FAA	Lachnospiraceae_bacterium_7_1_58FAA	Lachnospiraceae_bacterium_8_1_57FAA	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Parasutterella_excrementihominis	Peptostreptococcaceae_noname_unclassified	Prevotella_copri	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_unclassified	Ruminococcaceae_bacterium_D16	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_obeum	Ruminococcus_torques	Streptococcus_parasanguinis	Streptococcus_salivarius	Subdoligranulum_unclassified	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	Veillonella_unclassified
HSM7J4HQ	0	2	54	407	17	6	0	23	0	0	0	20	0	466	110	17	40	1258	246	0	12	103	134	0	0	407	2	0	0	0	23	0	4	0	0	2	91	0	62	51	0	241	0	65	16	131	9	0	1038	0	0	3238	9	4	20	0	0	0	1	0	16	1	0	0	350	595	535	0	6	0	3	14	0	0	11	0	0	0	27	55	11	3	6	4	2	25	1
HSM7J4HS	0	0	0	374	0	0	0	4	0	0	0	0	114	4	458	0	0	103	91	0	183	58	149	0	0	107	3	0	0	0	8	0	5	0	0	0	90	41	86	0	0	376	0	0	4	22	61	0	4510	0	0	2412	0	0	0	0	0	0	0	0	4	0	11	0	40	247	55	0	4	0	0	9	0	0	0	0	0	0	154	139	2	27	0	2	3	14	26
HSM7J4HU	0	0	0	1411	0	0	0	330	0	0	0	0	617	17	2732	0	59	755	147	0	3	35	27	0	0	263	10	0	5	0	44	2	9	3	0	38	16	0	51	70	0	86	0	708	0	6	8	0	1004	0	0	510	13	0	8	0	0	0	0	0	3	0	0	0	63	686	192	0	20	0	0	0	0	0	6	0	0	0	6	14	0	0	18	0	0	0	0
HSM7J4JZ	0	0	0	105	5	2	0	36	2	0	0	0	344	20	834	0	328	348	21	0	97	139	27	0	0	96	288	0	0	0	8	0	0	0	0	0	110	0	35	0	0	626	0	0	0	22	0	0	3473	0	0	1845	0	57	0	0	27	0	0	0	3	0	0	0	76	97	2	0	1	0	0	0	4	0	20	0	0	0	91	231	56	32	8	33	2	17	59
HSM7J4K2	0	0	28	720	127	0	0	198	67	0	0	0	323	228	2761	0	1554	353	25	0	45	12	23	10	0	72	0	0	0	0	3	0	0	0	0	0	15	0	12	1	0	18	0	0	0	28	0	0	643	0	0	1143	0	5	3	0	0	0	0	0	1	0	0	65	57	84	53	560	5	7	0	0	30	0	0	0	0	0	11	30	1	0	8	26	3	19	0
HSM7J4K4	0	0	0	0	0	0	0	18	0	2	0	21	129	13	1366	0	291	954	8	0	0	0	54	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	252	0	92	0	0	0	0	2371	0	0	1979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	800	0	0	0	0	0	37	96	0	4	1421	0	0	0	0
HSM7J4K6	0	0	1	251	30	0	0	152	7	0	0	0	239	160	3029	0	1059	247	12	0	29	37	70	0	0	181	1	0	0	0	61	0	7	0	0	4	71	16	33	30	0	193	0	233	0	40	14	0	605	0	0	736	3	0	0	0	0	0	0	0	1	2	0	0	78	36	37	167	17	0	0	0	25	0	5	0	0	3	25	81	0	0	1766	1	0	21	12
HSM7J4K8	0	0	0	235	22	1	0	88	7	0	0	2	135	65	935	1	408	80	7	0	37	27	20	0	0	153	195	0	0	0	5	0	0	0	0	0	26	17	35	32	0	131	0	0	0	13	0	0	2414	0	0	1161	3	0	0	0	0	0	0	0	8	0	7	0	40	1	54	192	17	16	29	0	194	0	0	0	0	0	25	176	0	2	2678	0	0	0	0
HSM7J4KA	0	0	0	0	0	0	0	0	0	0	0	0	11	49	718	0	23	545	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	147	0	0	0	0	0	0	0	0	0	1153	0	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	411	0	840	0	0	842	1581	25	846	2223
HSM7J4M4	0	0	11	57	1	0	0	0	0	0	0	0	28	37	66	3	172	689	0	28	966	95	80	17	0	0	0	0	0	0	0	0	0	0	0	81	602	42	151	0	52	124	0	88	35	116	12	3	918	23	0	3537	0	451	11	0	0	0	0	0	1	6	0	0	285	0	6	5	0	17	1	0	0	5	1	0	0	0	19	42	280	63	620	18	3	16	119
HSM7J4M6	0	0	1	263	0	0	0	0	0	0	0	0	516	52	1104	0	767	850	0	29	872	61	25	0	0	1	0	0	0	0	0	0	0	0	0	24	198	28	64	0	27	59	0	41	0	160	3	0	552	5	2	3160	0	278	2	0	0	0	0	0	0	4	0	0	91	0	8	17	2	0	22	0	0	3	4	0	0	0	5	39	131	24	475	0	1	18	13
HSM7J4M8	0	0	2	189	8	0	0	0	0	2	0	0	403	261	1081	4	671	418	1	101	1030	110	32	5	0	7	0	0	0	1	1	0	0	0	4	2	427	13	65	0	30	57	0	3	0	153	23	0	1060	14	0	2392	0	449	7	0	0	0	0	0	2	10	0	0	169	0	87	0	10	0	5	6	1	14	8	0	0	0	15	20	120	126	349	1	3	1	25
HSM7J4MA	0	0	4	270	6	0	0	0	0	2	0	0	363	118	1165	1	702	315	0	50	834	148	49	3	0	5	1	0	0	0	1	0	0	0	5	3	721	12	52	0	30	62	0	4	0	153	7	2	1063	87	20	2554	0	196	9	0	0	0	0	0	2	8	0	0	157	1	21	0	5	0	21	3	0	105	0	1	0	0	8	33	120	29	447	0	0	1	17
HSM7J4MC	6	8	26	336	43	1	0	0	0	28	0	9	477	419	2297	18	478	376	3	189	808	107	43	24	1	7	0	1	1	0	78	2	0	7	90	59	313	4	40	0	17	39	0	26	3	42	16	1	752	12	2	1587	0	193	2	0	0	0	0	2	3	7	0	33	83	0	75	15	5	0	2	6	0	10	0	0	0	0	6	23	65	70	596	0	0	1	4
HSM7J4ME	0	0	1	204	4	1	0	0	0	0	0	0	86	46	691	1	281	292	1	48	765	122	68	22	2	5	0	0	0	0	2	0	0	0	1	4	703	30	86	0	17	71	0	15	4	96	11	5	1400	2	5	3081	0	687	11	0	0	0	0	3	2	7	2	0	159	0	34	0	7	0	6	3	0	20	0	0	0	0	14	14	53	67	703	2	1	17	17
HSM7J4NC	0	33	351	0	251	8	0	0	0	0	0	403	0	412	889	697	959	1314	17	0	11	0	21	37	0	48	0	5	12	0	11	0	0	1	44	23	0	0	46	0	1	41	0	1	0	75	5	0	0	0	18	1191	2	36	8	0	0	0	15	0	26	31	3	424	124	20	0	2107	25	0	0	0	108	14	0	0	0	0	5	31	0	0	73	0	0	0	0
HSM7J4NE	0	69	696	0	280	7	0	0	0	0	0	403	0	661	1550	266	510	2405	26	0	13	0	26	20	0	27	3	2	2	0	17	0	0	1	18	66	0	0	54	0	5	140	0	1	8	177	17	0	0	0	20	833	0	37	8	0	0	0	35	0	19	17	48	385	133	7	0	572	11	0	0	1	8	5	26	0	0	0	28	64	9	2	49	0	0	0	0
