species,smillie_auc,genome_name,smillie_engraftment_prob
Dorea_longicatena,0.65625,Dorea_longicatena_DSM_13814,0.3125
Eggerthella_lenta,0.583333333333333,Eggerthella_lenta_DSM_2243,0.16666666666666607
Abiotrophia_defectiva,0.53125,Abiotrophia_defectiva_ATCC_49176,0.0625
Megasphaera_micronuciformis,0.541666666666667,Megasphaera_micronuciformis,0.08333333333333393
Solobacterium_moorei,0.53125,Solobacterium_moorei,0.0625
Actinomyces_sp.,0.5,Actinomyces_sp._oral_taxon_171,0.0
Eikenella_corrodens,0.5,Eikenella_corrodens_ATCC_23834,0.0
Enterobacter_cancero,0.5,Enterobacter_cancero_ATCC_35316,0.0
Cronobacter_sakazakii,0.520833333333333,Cronobacter_sakazakii_ATCC_BAA-894,0.041666666666666075
Enterobacter_sp.,0.5,Enterobacter_sp._638,0.0
Enterococcus_faecalis,0.552083333333333,Enterococcus_faecalis_V583,0.10416666666666607
Escherichia_albertii,0.723958333333333,Escherichia_albertii_TW07627,0.4479166666666661
Alistipes_putredinis,0.5,Alistipes_putredinis_DSM_17216,0.0
Escherichia_coli,0.625,Escherichia_coli_str._K-12_substr._MG1655,0.25
Escherichia_fergusonii,0.635416666666667,Escherichia_fergusonii_ATCC_35469,0.2708333333333339
Eubacterium_biforme,0.59375,Eubacterium_biforme_DSM_3989,0.1875
Eubacterium_dolichum,0.5625,Eubacterium_dolichum_DSM_3991,0.125
Eubacterium_eligens,0.5,Eubacterium_eligens_ATCC_27750,0.0
Eubacterium_hallii,0.5,Eubacterium_hallii_DSM_3353,0.0
Eubacterium_rectale,0.59375,Eubacterium_rectale_ATCC_33656,0.1875
Alkalilimnicola_ehrlichii,0.5625,Alkalilimnicola_ehrlichii_MLHE-1,0.125
Eubacterium_siraeum,0.53125,Eubacterium_siraeum_DSM_15702,0.0625
Eubacterium_ventriosum,0.53125,Eubacterium_ventriosum_ATCC_27560,0.0625
Faecalibacterium_prausnitzii,0.625,Faecalibacterium_prausnitzii_A2-165,0.25
Fusobacterium_mortiferum,0.5625,Fusobacterium_mortiferum_ATCC_9817,0.125
Fusobacterium_nucleatum,0.5,Fusobacterium_nucleatum_subsp._polymorphum_ATCC_10953,0.0
Fusobacterium_periodonticum,0.583333333333333,Fusobacterium_periodonticum_ATCC_33693,0.16666666666666607
Allochromatium_vinosum,0.53125,Allochromatium_vinosum_DSM_180,0.0625
Fusobacterium_ulcerans,0.53125,Fusobacterium_ulcerans_ATCC_49185,0.0625
Gemella_haemolysans,0.53125,Gemella_haemolysans_ATCC_10379,0.0625
Geodermatophilus_obscurus,0.5,Geodermatophilus_obscurus_DSM_43160,0.0
Granulicatella_adiacens,0.5,Granulicatella_adiacens_ATCC_49175,0.0
Granulicatella_elegans,0.5,Granulicatella_elegans_ATCC_700633,0.0
Haemophilus_ducreyi,0.583333333333333,Haemophilus_ducreyi_35000HP,0.16666666666666607
Haemophilus_influenzae,0.583333333333333,Haemophilus_influenzae_R2866,0.16666666666666607
Heliobacterium_modesticaldum,0.53125,Heliobacterium_modesticaldum_Ice1,0.0625
Holdemania_filiformis,0.53125,Holdemania_filiformis_DSM_12042,0.0625
Anaerococcus_hydrogenalis,0.5,Anaerococcus_hydrogenalis_DSM_7454,0.0
Klebsiella_pneumoniae,0.645833333333333,Klebsiella_pneumoniae_subsp._rhinoscleromatis_ATCC_13884,0.2916666666666661
Kocuria_rhizophila,0.5625,Kocuria_rhizophila_DC2201,0.125
Kribbella_flavida,0.53125,Kribbella_flavida_DSM_17836,0.0625
Kytococcus_sedentarius,0.53125,Kytococcus_sedentarius_DSM_20547,0.0625
Lactobacillus_antri,0.53125,Lactobacillus_antri_DSM_16041,0.0625
Lactobacillus_coleohominis,0.5625,Lactobacillus_coleohominis_101-4-CHN,0.125
Lactobacillus_fermentum,0.526041666666667,Lactobacillus_fermentum_IFO_3956,0.052083333333333925
Lactobacillus_plantarum,0.520833333333333,Lactobacillus_plantarum_WCFS1,0.041666666666666075
Lactobacillus_ruminis,0.520833333333333,Lactobacillus_ruminis_ATCC_25644,0.041666666666666075
Lactobacillus_sakei,0.53125,Lactobacillus_sakei_subsp._sakei_23K,0.0625
Lactobacillus_ultunensis,0.515625,Lactobacillus_ultunensis_DSM_16047,0.03125
Lactobacillus_vaginalis,0.5,Lactobacillus_vaginalis_ATCC_49540,0.0
Lactococcus_lactis,0.5,Lactococcus_lactis_subsp._cremoris_MG1363,0.0
Laribacter_hongkongensis,0.5625,Laribacter_hongkongensis_HLHK9,0.125
Anaerococcus_vaginalis,0.5,Anaerococcus_vaginalis_ATCC_51170,0.0
Leuconostoc_citreum,0.510416666666667,Leuconostoc_citreum_KM20,0.020833333333333925
Listeria_grayi,0.515625,Listeria_grayi_DSM_20601,0.03125
Lutiella_nitroferrum,0.5,Lutiella_nitroferrum_2002,0.0
Anaerostipes_caccae,0.5625,Anaerostipes_caccae_DSM_14662,0.125
Methylibium_petroleiphilum,0.505208333333333,Methylibium_petroleiphilum_PM1,0.010416666666666075
Anaerotruncus_colihominis,0.5,Anaerotruncus_colihominis_DSM_17241,0.0
Methylobacterium_radiotolerans,0.59375,Methylobacterium_radiotolerans_JCM_2831,0.1875
Micrococcus_luteus,0.5,Micrococcus_luteus_NCTC_2665,0.0
Mitsuokella_multacida,0.53125,Mitsuokella_multacida_DSM_20544,0.0625
Moorella_thermoacetica,0.5625,Moorella_thermoacetica_ATCC,0.125
Mycobacterium_avium,0.5,Mycobacterium_avium,0.0
Aromatoleum_aromaticum,0.53125,Aromatoleum_aromaticum_EbN1,0.0625
Nocardiopsis_dassonvillei,0.53125,Nocardiopsis_dassonvillei_subsp._dassonvillei_DSM_43111,0.0625
Novosphingobium_aromaticivorans,0.5625,Novosphingobium_aromaticivorans_DSM_12444,0.125
Arthrobacter_chlorophenolicus,0.59375,Arthrobacter_chlorophenolicus_A6,0.1875
Oligotropha_carboxidovorans,0.53125,Oligotropha_carboxidovorans_OM5,0.0625
Arthrobacter_sp.,0.5,Arthrobacter_sp._FB24,0.0
Oribacterium_sinus,0.53125,Oribacterium_sinus_F0268,0.0625
Parabacteroides_distasonis,0.5625,Parabacteroides_distasonis_ATCC_8503,0.125
Parabacteroides_johnsonii,0.5625,Parabacteroides_johnsonii_DSM_18315,0.125
Parabacteroides_merdae,0.53125,Parabacteroides_merdae_ATCC_43184,0.0625
Parvimonas_micra,0.5,Parvimonas_micra_ATCC_33270,0.0
Pasteurella_multocida,0.583333333333333,Pasteurella_multocida_subsp._multocida_str._Pm70,0.16666666666666607
Pediococcus_pentosaceus,0.510416666666667,Pediococcus_pentosaceus_ATCC_25745,0.020833333333333925
Pelotomaculum_thermopropionicum,0.53125,Pelotomaculum_thermopropionicum_SI,0.0625
Phenylobacterium_zucineum,0.59375,Phenylobacterium_zucineum_HLK1,0.1875
Polaromonas_naphthalenivorans,0.53125,Polaromonas_naphthalenivorans_CJ2,0.0625
Atopobium_parvulum,0.583333333333333,Atopobium_parvulum_DSM_20469,0.16666666666666607
Prevotella_bergensis,0.59375,Prevotella_bergensis_DSM_17361,0.1875
Prevotella_copri,0.625,Prevotella_copri_DSM_18205,0.25
Prevotella_tannerae,0.53125,Prevotella_tannerae_ATCC_51259,0.0625
Prevotella_veroralis,0.59375,Prevotella_veroralis_F0319,0.1875
Acidaminococcus_sp.,0.5625,Acidaminococcus_sp._D21,0.125
Atopobium_rimae,0.5,Atopobium_rimae_ATCC_49626,0.0
Atopobium_vaginae,0.5,Atopobium_vaginae_DSM_15829,0.0
Proteus_penneri,0.625,Proteus_penneri_ATCC_35198,0.25
Providencia_alcalifaciens,0.505208333333333,Providencia_alcalifaciens_DSM_30120,0.010416666666666075
Providencia_rustigianii,0.520833333333333,Providencia_rustigianii_DSM_4541,0.041666666666666075
Providencia_stuartii,0.53125,Providencia_stuartii_ATCC_25827,0.0625
Pseudomonas_entomophila,0.71875,Pseudomonas_entomophila_L48,0.4375
Pseudomonas_putida,0.71875,Pseudomonas_putida_F1,0.4375
Azoarcus_sp.,0.5625,Azoarcus_sp._BH72,0.125
