	Akkermansia_muciniphila	Alistipes_finegoldii	Alistipes_onderdonkii	Alistipes_putredinis	Alistipes_shahii	Anaerostipes_hadrus	Anaerotruncus_unclassified	Bacteroides_caccae	Bacteroides_cellulosilyticus	Bacteroides_dorei	Bacteroides_faecis	Bacteroides_fragilis	Bacteroides_massiliensis	Bacteroides_ovatus	Bacteroides_stercoris	Bacteroides_thetaiotaomicron	Bacteroides_uniformis	Bacteroides_vulgatus	Bacteroides_xylanisolvens	Barnesiella_intestinihominis	Bifidobacterium_adolescentis	Bifidobacterium_bifidum	Bifidobacterium_longum	Bilophila_unclassified	Bilophila_wadsworthia	Burkholderiales_bacterium_1_1_47	C2likevirus_unclassified	Clostridiales_bacterium_1_7_47FAA	Clostridium_asparagiforme	Clostridium_bartlettii	Clostridium_bolteae	Clostridium_citroniae	Clostridium_clostridioforme	Clostridium_hathewayi	Clostridium_leptum	Clostridium_symbiosum	Collinsella_aerofaciens	Coprococcus_catus	Coprococcus_comes	Dialister_invisus	Dorea_formicigenerans	Dorea_longicatena	Dorea_unclassified	Escherichia_coli	Escherichia_unclassified	Eubacterium_eligens	Eubacterium_hallii	Eubacterium_ramulus	Eubacterium_rectale	Eubacterium_siraeum	Eubacterium_ventriosum	Faecalibacterium_prausnitzii	Flavonifractor_plautii	Haemophilus_parainfluenzae	Holdemania_filiformis	Holdemania_unclassified	Lachnospiraceae_bacterium_1_1_57FAA	Lachnospiraceae_bacterium_2_1_58FAA	Lachnospiraceae_bacterium_3_1_46FAA	Lachnospiraceae_bacterium_3_1_57FAA_CT1	Lachnospiraceae_bacterium_5_1_63FAA	Lachnospiraceae_bacterium_7_1_58FAA	Lachnospiraceae_bacterium_8_1_57FAA	Odoribacter_splanchnicus	Oscillibacter_unclassified	Parabacteroides_distasonis	Parabacteroides_merdae	Parabacteroides_unclassified	Parasutterella_excrementihominis	Peptostreptococcaceae_noname_unclassified	Prevotella_copri	Roseburia_hominis	Roseburia_intestinalis	Roseburia_inulinivorans	Roseburia_unclassified	Ruminococcaceae_bacterium_D16	Ruminococcus_bromii	Ruminococcus_gnavus	Ruminococcus_obeum	Ruminococcus_torques	Streptococcus_parasanguinis	Streptococcus_salivarius	Subdoligranulum_unclassified	Veillonella_atypica	Veillonella_dispar	Veillonella_parvula	Veillonella_unclassified
MSM9VZGU	113	8	1	187	35	2	43	134	2	0	0	0	532	14	16	24	276	436	3	184	2	0	0	28	1	0	0	0	6	0	0	0	0	0	2	0	13	112	22	0	58	124	0	15	30	195	18	25	1612	0	73	1184	0	0	17	3	0	0	422	0	2	3	0	115	106	41	47	27	0	0	878	53	15	53	174	0	0	0	50	281	0	0	1895	0	0	0	0
MSM9VZGW	0	4	26	141	7	0	0	0	0	200	27	0	167	55	0	0	344	1	0	27	225	0	121	62	9	0	0	14	3	4	163	5	0	0	7	7	136	0	36	0	44	270	0	0	31	0	99	1	325	1	11	2286	0	0	44	0	0	0	111	6	2	23	25	0	7	43	29	0	0	7	0	1	0	8	55	0	139	0	42	53	0	0	4056	0	0	0	3
MSM9VZGY	0	7	84	308	10	0	3	0	0	472	251	0	439	312	1	0	1248	3	0	58	10	0	3	80	16	0	0	3	0	0	105	0	0	0	2	0	28	0	6	0	37	94	0	0	8	0	12	5	911	25	34	1108	0	0	24	0	0	0	178	0	0	30	0	46	4	293	128	0	0	0	0	4	0	6	10	0	24	0	8	87	0	0	1932	0	0	0	0
MSM9VZH7	0	3	26	271	8	0	0	0	0	233	66	0	292	143	0	0	668	0	0	42	2	0	7	76	14	0	0	5	3	0	3	0	0	0	8	0	17	0	13	0	46	241	0	0	0	0	6	8	558	12	41	2395	0	0	17	0	0	0	64	0	0	8	3	0	17	118	58	0	0	0	0	5	0	56	0	0	68	0	8	37	0	0	3423	0	0	0	0
MSM9VZHB	118	0	0	13	0	64	0	127	0	0	0	0	429	0	64	12	84	703	0	38	0	0	0	53	3	1	0	1	0	0	388	2	0	0	1	0	15	66	64	0	36	160	0	903	0	1	130	87	8	0	51	46	0	0	32	0	0	0	305	0	15	0	0	0	1	11	10	0	2	0	2071	38	20	2551	0	0	0	11	23	682	0	2	532	0	0	0	0
MSM9VZHF	1152	0	6	155	8	30	10	135	28	0	0	17	370	18	232	24	255	183	44	205	0	0	0	305	26	1	0	11	20	0	30	3	0	0	0	0	49	202	88	0	63	199	0	0	0	52	107	33	183	0	91	1192	0	0	17	18	0	0	330	11	0	4	0	0	3	38	40	0	10	0	442	156	94	554	0	0	0	12	172	777	0	0	1546	0	0	0	0
MSM9VZHJ	0	0	0	733	24	0	0	0	0	1482	0	0	0	0	0	1383	0	0	462	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	12	0	1	2	0	150	11	4	0	0	2	2	0	0	529	0	186	3326	2	247	0	0	0	0	0	0	0	0	0	0	8	0	0	2	0	0	0	1091	0	73	0	0	9	0	9	12	0	0	138	26	4	44	7
MSM9VZHL	0	0	0	397	114	0	0	0	0	820	0	0	0	0	0	469	6	0	266	0	0	0	0	19	0	0	10	0	2	0	0	5	0	0	66	0	0	0	7	641	27	0	25	0	0	224	0	0	427	0	109	4278	0	0	0	0	0	0	0	0	0	0	25	0	76	0	0	0	0	0	0	1100	2	89	0	0	10	0	6	121	12	0	477	30	4	105	32
MSM9VZHN	0	0	0	779	238	0	0	0	0	1978	0	0	2	1	0	731	4	0	647	0	0	0	0	3	0	0	46	0	0	0	0	0	0	0	8	0	0	1	2	119	1	4	13	3	1	14	1	0	876	0	56	3427	1	15	0	0	0	0	0	0	1	0	44	0	16	0	0	2	0	3	0	653	3	54	0	0	42	0	8	28	18	0	97	13	5	32	4
MSM9VZHP	0	0	0	516	55	0	0	0	0	695	0	0	0	0	0	436	0	0	299	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	52	0	0	0	7	350	52	4	0	0	0	23	2	0	1217	0	59	4785	1	25	0	0	0	0	0	0	0	0	2	0	14	0	0	0	0	0	0	1054	3	62	0	0	19	0	3	7	6	2	196	9	0	24	2
MSM9VZHR	0	0	0	507	77	1	0	0	0	940	0	0	0	0	0	485	0	1	406	0	0	3	0	23	0	0	123	0	0	10	0	0	0	0	20	0	5	4	11	150	16	8	9	20	0	7	1	0	2896	0	173	3291	2	15	0	0	0	1	0	0	1	0	0	0	65	0	0	0	0	9	0	5	1	95	267	0	31	10	6	29	30	17	119	4	4	86	10
MSM9VZHT	0	0	0	516	34	5	20	0	0	858	0	0	0	0	0	648	0	2	287	0	0	0	0	104	4	0	2	0	0	11	0	2	0	0	12	0	2	1	13	862	59	47	0	0	0	48	0	2	1100	0	294	4089	3	7	2	0	0	11	0	0	8	0	0	0	25	0	0	0	0	0	0	106	2	225	0	0	301	73	2	20	1	0	162	0	0	24	6
MSM9VZHX	0	519	0	916	132	0	0	0	847	2	0	490	0	0	0	1156	273	2865	484	0	0	0	0	122	7	45	0	0	8	0	13	1	15	3	53	0	1	0	0	336	0	0	36	14	14	0	0	0	0	0	0	220	117	0	1	4	0	0	4	0	0	29	0	87	72	64	0	433	68	0	0	0	0	0	15	1	0	28	2	14	0	0	440	0	0	0	0
MSM9VZHZ	0	522	0	577	34	3	0	0	1901	1	0	435	0	0	0	207	125	953	430	0	0	0	0	887	47	146	0	16	19	0	76	18	33	18	41	8	6	0	0	1253	2	0	30	28	0	0	0	0	0	0	0	18	113	0	0	2	0	0	13	6	6	45	44	111	0	65	0	335	126	0	0	0	0	0	2	1	0	123	9	262	0	0	832	0	0	0	0
MSM9VZI2	0	508	0	1018	137	1	0	0	2894	2	0	226	0	0	0	565	237	1922	548	0	0	0	0	67	3	20	0	1	1	0	7	0	8	0	0	0	3	0	0	479	1	0	5	16	0	0	0	0	0	0	0	342	20	0	0	0	0	0	3	0	1	10	0	96	7	79	0	439	27	0	0	0	0	0	6	0	0	14	6	16	0	0	235	0	0	0	0
