species,disease,causal_ace,causal_sig
Bacteroides_ovatus,ICI,-0.13762,0.0
Bacteroides_salyersiae,ICI,0.05019,0.0
Bacteroides_stercoris,ICI,0.108,0.0
Bacteroides_uniformis,ICI,0.19747,1.0
Barnesiella_intestinihominis,ICI,0.33155,1.0
Bifidobacterium_pseudocatenulatum,ICI,-0.04511,0.0
Blautia_obeum,ICI,0.19502,1.0
Clostridium_sp_CAG_253,ICI,0.01031,1.0
Coprococcus_catus,ICI,-0.07131,0.0
Coprococcus_comes,ICI,0.03887,0.0
Coprococcus_eutactus,ICI,0.12307,0.0
Dialister_succinatiphilus,ICI,0.01581,0.0
Eubacterium_sp_CAG_180,ICI,0.06006,0.0
Firmicutes_bacterium_CAG_95,ICI,,
Odoribacter_splanchnicus,ICI,0.13157,0.0
Oscillibacter_sp_57_20,ICI,0.29901,1.0
Oscillibacter_sp_CAG_241,ICI,0.06981,0.0
Parabacteroides_distasonis,ICI,-0.04499,0.0
Parabacteroides_johnsonii,ICI,-0.07826,0.0
Parabacteroides_merdae,ICI,0.0927,0.0
Paraprevotella_xylaniphila,ICI,0.02399,0.0
Roseburia_hominis,ICI,0.14261,0.0
Ruminococcus_bicirculans,ICI,0.10403,0.0
Ruminococcus_bromii,ICI,0.08676,0.0
Ruminococcus_lactaris,ICI,-0.074,0.0
Ruminococcus_torques,ICI,-0.08652,0.0
Slackia_isoflavoniconvertens,ICI,0.19049,0.0
Akkermansia_muciniphila,ICI,0.01261,0.0
Alistipes_finegoldii,ICI,0.15921,1.0
